# http://www.pref.fukushima.jp/j/monitoring.xls
# MP4: 第一発電所敷地内MP No.4（東京電力設置）1F1号機から西500m 2Fから北11km
# 正門付近: 第一発電所正門付近（東京電力測定）
# 大野局MP: 大熊町大野局MP（福島県設置）1Fから西南西5km 2Fから北北西11km
# 単位: μGy/h≒μSv/h
Time,MP4,正門付近,大野局MP
2011-03-12 14:00,,,0.25
2011-03-12 15:00,,,0.05
2011-03-12 15:13,162,,
2011-03-12 15:29,1015,,
2011-03-12 15:35,271,,
2011-03-12 16:00,131,,0.05
2011-03-12 16:15,109,,
2011-03-12 17:00,,,0.05
2011-03-12 18:00,83,,0.32
2011-03-12 19:00,72,,0.06
2011-03-12 20:00,62,,0.07
2011-03-12 21:00,,,0.06
2011-03-12 22:00,54,,0.07
2011-03-12 23:00,49,,0.08
2011-03-13 0:00,46,,0.08
2011-03-13 1:00,,,0.08
2011-03-13 2:00,41,,0.08
2011-03-13 3:00,40,,0.08
2011-03-13 4:00,38,,0.08
2011-03-13 5:00,37,,0.08
2011-03-13 6:00,37,,0.08
2011-03-13 7:00,38,,0.08
2011-03-13 7:30,35,,0.08
2011-03-13 8:00,36,,0.07
2011-03-13 8:19,348,,
2011-03-13 8:27,1124,,
2011-03-13 8:30,,,0.08
2011-03-13 8:33,1204,,
2011-03-13 8:43,198,,
2011-03-13 8:51,680,,
2011-03-13 9:00,144,,0.14
2011-03-13 9:14,200,,
2011-03-13 10:00,53,,0.12
2011-03-13 11:00,54,,0.08
2011-03-13 12:00,49,,0.16
2011-03-13 13:00,45,,0.26
2011-03-13 13:48,252,,
2011-03-13 13:52,1558,,
2011-03-13 14:00,429,,0.23
2011-03-13 14:10,846,,
2011-03-13 15:00,59,,1.34
2011-03-13 16:00,107,,1.32
2011-03-13 17:00,79,,5.10
2011-03-13 18:00,50,,0.62
2011-03-13 19:00,46,,0.26
2011-03-13 20:00,43,,0.21
2011-03-13 21:00,41,,0.20
2011-03-13 22:00,40,,0.20
2011-03-13 23:00,39,,0.19
2011-03-14 0:00,38,,0.25
2011-03-14 1:00,38,,0.37
2011-03-14 2:00,35,,0.19
2011-03-14 2:30,318,,0.19
2011-03-14 3:00,144,,0.19
2011-03-14 4:00,,,0.19
2011-03-14 5:00,39.8,,0.19
2011-03-14 6:00,37,,0.19
2011-03-14 7:00,38.8,,0.18
2011-03-14 8:00,41.5,,0.18
2011-03-14 9:00,,,0.20
2011-03-14 10:00,,,0.26
2011-03-14 10:05,42,,
2011-03-14 10:51,39.4,,
2011-03-14 11:00,,,0.26
2011-03-14 12:00,,,0.60
2011-03-14 12:52,31.5,,
2011-03-14 13:00,,,0.41
2011-03-14 13:12,34.2,,
2011-03-14 14:00,,,0.41
2011-03-14 15:00,,,0.42
2011-03-14 16:00,,,0.42
2011-03-14 17:00,,,
2011-03-14 18:00,,,
2011-03-14 19:00,,,
2011-03-14 20:00,,,
2011-03-14 21:00,,,
2011-03-14 21:37,,3130,
2011-03-14 22:00,,,
2011-03-14 23:00,,,
2011-03-15 0:00,,188.9,
2011-03-15 1:00,,,
2011-03-15 1:40,,130.4,
2011-03-15 2:20,,111.4,
2011-03-15 3:20,,92.8,
2011-03-15 4:00,,81.9,
2011-03-15 5:00,,70 ,
2011-03-15 6:00,,73.2,
2011-03-15 7:00,,965.4,
2011-03-15 7:38,,1390,
2011-03-15 7:50,,1941,
2011-03-15 8:00,,,
2011-03-15 8:31,,8217,
2011-03-15 8:35,,2406,
2011-03-15 8:50,,2208,
2011-03-15 9:00,,11930,
2011-03-15 9:15,58,,
2011-03-15 10:15,,8837,
2011-03-15 10:25,,3342,
2011-03-15 11:40,253.8,,
2011-03-15 12:05,2431,,
2011-03-15 12:15,2434,,
2011-03-15 12:25,,1407,
2011-03-15 13:00,,1191,
2011-03-15 14:00,,928.2,
