# http://www.ncc.go.jp/jp/information/sokutei_ncce.html
Date,Day,Weather,I1,A,B,I2,C,D
2011-03-15,火,晴れ,,,,77,446,
2011-03-16,水,晴れ,0.06,0.07,0.1,51,180,
2011-03-17,木,晴れ,0.06,0.07,0.09,44,148,
2011-03-18,金,晴れ,0.06,0.08,0.08,50,144,
2011-03-19,土,晴れ,0.05,0.08,0.1,,,
2011-03-20,日,晴れ,0.07,0.08,0.1,,,
2011-03-21,月,雨,,,,,,
2011-03-22,火,雨,0.06,0.32,0.72,48,819,
2011-03-23,水,曇り,0.06,0.34,0.74,56,1210,
2011-03-24,木,曇り,0.06,0.3,0.72,59,1208,2200
2011-03-25,金,晴れ,0.07,0.35,0.67,47,1135,1700
2011-03-26,土,晴れ,0.07,0.7,0.66,67,,1973
2011-03-27,日,晴れ,0.07,0.29,0.62,64,,1605
2011-03-28,月,晴れ,0.07,0.31,0.6,55,962,1590
2011-03-29,火,晴れ,0.07,0.29,0.57,55,982,1673
2011-03-30,水,晴れ,0.07,0.28,0.51,60,860,2000
2011-03-31,木,晴れ,0.07,0.26,0.5,60,676,1600
2011-04-01,金,晴れ,0.07,0.26,0.5,60,676,1600
2011-04-02,土,晴れ,0.07,0.25,0.53,66,750,1710
2011-04-03,日,曇り,0.07,0.27,0.51,66,810,1650
2011-04-04,月,晴れ,0.06,0.24,0.48,70,720,1780
2011-04-05,火,晴れ,0.06,0.19,0.41,60,780,1260
2011-04-06,水,晴れ,0.06,0.2,0.43,60,700,1200
2011-04-07,木,晴れ,0.07,0.26,0.43,60,650,1200
2011-04-08,金,晴れ,0.07,0.23,0.42,62,800,1250
2011-04-09,土,曇り（一時小雨）,0.07,0.22,0.47,61,689,1045
2011-04-10,日,晴れ,0.07,0.2,0.42,55,690,1210
2011-04-11,月,晴れ,0.06,0.21,0.44,60,630,1100
2011-04-12,火,晴れ,0.06,0.2,0.43,60,650,1200
2011-04-13,水,晴れ,0.06,0.19,0.41,60,650,1100
2011-04-14,木,晴れ,0.06,0.19,0.39,60,650,1050
