"ch","sp","bg"
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,100,864
11,240,2349
12,230,2023
13,237,2040
14,238,1978
15,211,1967
16,209,1991
17,245,2053
18,215,2129
19,217,2035
20,221,2022
21,242,1938
22,229,2151
23,238,2222
24,235,2239
25,242,2299
26,237,2242
27,268,2341
28,262,2406
29,270,2461
30,288,2612
31,283,2781
32,313,2969
33,337,3052
34,351,3055
35,347,2989
36,316,2906
37,335,2871
38,364,2889
39,311,2896
40,315,2740
41,292,2710
42,307,2631
43,309,2508
44,271,2389
45,287,2428
46,282,2243
47,280,2425
48,251,2336
49,245,2464
50,294,2400
51,300,2383
52,264,2309
53,307,2392
54,269,2417
55,287,2362
56,293,2462
57,308,2504
58,301,2404
59,313,2449
60,285,2515
61,289,2421
62,316,2525
63,301,2513
64,285,2506
65,304,2436
66,296,2449
67,311,2578
68,295,2602
69,275,2537
70,343,2571
71,342,2537
72,297,2487
73,300,2540
74,292,2452
75,306,2489
76,315,2465
77,294,2466
78,298,2456
79,286,2448
80,272,2417
81,309,2394
82,323,2416
83,308,2342
84,280,2398
85,305,2400
86,306,2431
87,291,2387
88,321,2314
89,327,2349
90,324,2327
91,328,2369
92,319,2233
93,325,2391
94,368,2374
95,371,2252
96,279,2307
97,319,2263
98,296,2261
99,321,2335
100,258,2343
101,319,2243
102,294,2266
103,288,2202
104,283,2222
105,318,2183
106,340,2201
107,300,2262
108,330,2327
109,312,2324
110,300,2295
111,323,2366
112,296,2405
113,294,2376
114,317,2458
115,326,2399
116,309,2491
117,331,2587
118,273,2404
119,311,2496
120,285,2396
121,268,2415
122,277,2372
123,303,2277
124,288,2196
125,276,2072
126,279,2035
127,260,2129
128,268,1926
129,237,1987
130,231,1843
131,217,1815
132,219,1795
133,231,1861
134,204,1847
135,231,1798
136,228,1799
137,196,1765
138,220,1715
139,219,1704
140,217,1713
141,214,1708
142,231,1662
143,232,1623
144,204,1645
145,210,1692
146,180,1654
147,202,1645
148,195,1638
149,179,1570
150,203,1633
151,177,1577
152,175,1546
153,209,1549
154,196,1478
155,195,1487
156,169,1486
157,198,1497
158,193,1441
159,197,1420
160,157,1446
161,185,1461
162,165,1412
163,172,1389
164,153,1402
165,163,1377
166,162,1430
167,177,1300
168,178,1345
169,155,1375
170,168,1334
171,160,1338
172,161,1291
173,172,1410
174,143,1298
175,175,1269
176,164,1249
177,145,1382
178,152,1343
179,175,1245
180,174,1304
181,178,1248
182,171,1207
183,170,1234
184,150,1195
185,153,1287
186,126,1229
187,141,1196
188,131,1154
189,137,1185
190,139,1097
191,144,1070
192,120,1110
193,122,1090
194,137,1074
195,148,1056
196,134,1031
197,138,1012
198,140,1027
199,138,985
200,133,952
201,127,985
202,134,959
203,134,940
204,126,958
205,123,995
206,114,967
207,128,962
208,125,960
209,129,952
210,137,871
211,108,919
212,105,931
213,112,860
214,125,930
215,118,910
216,116,927
217,125,884
218,135,883
219,134,924
220,110,817
221,118,870
222,134,886
223,104,907
224,112,832
225,99,854
226,104,889
227,104,786
228,110,816
229,93,812
230,110,802
231,94,772
232,122,860
233,100,808
234,108,772
235,92,817
236,109,770
237,84,817
238,84,826
239,90,777
240,102,754
241,97,743
242,99,760
243,98,770
244,89,794
245,93,748
246,105,750
247,112,811
248,122,796
249,94,822
250,86,741
251,65,805
252,103,743
253,104,782
254,90,806
255,75,839
256,99,833
257,99,814
258,95,833
259,102,820
260,98,822
261,99,783
262,89,810
263,104,796
264,104,745
265,88,747
266,88,720
267,94,672
268,84,730
269,84,718
270,95,688
271,91,677
272,81,659
273,106,646
274,85,605
275,104,604
276,77,589
277,94,634
278,105,576
279,92,620
280,88,651
281,99,523
282,97,585
283,104,568
284,100,567
285,97,584
286,125,570
287,125,597
288,108,609
289,117,577
290,106,558
291,149,561
292,135,540
293,147,582
294,144,559
295,147,542
296,158,606
297,136,564
298,142,600
299,155,605
300,157,554
301,159,573
302,151,548
303,175,569
304,168,545
305,162,552
306,174,590
307,150,510
308,171,532
309,144,557
310,151,563
311,126,622
312,141,537
313,148,552
314,162,569
315,134,547
316,147,540
317,130,510
318,134,514
319,142,477
320,143,515
321,142,471
322,130,487
323,133,521
324,156,498
325,143,509
326,182,475
327,164,480
328,154,489
329,184,503
330,194,432
331,165,487
332,176,455
333,180,459
334,175,444
335,180,445
336,159,422
337,167,438
338,155,432
339,152,450
340,134,433
341,134,409
342,127,441
343,138,423
344,109,425
345,93,452
346,97,454
347,77,422
348,80,467
349,54,441
350,54,443
351,52,428
352,65,439
353,58,398
354,66,426
355,61,421
356,48,386
357,44,370
358,43,391
359,42,451
360,39,410
361,59,426
362,37,420
363,49,415
364,44,401
365,46,361
366,43,402
367,42,408
368,62,383
369,36,402
370,41,419
371,46,382
372,47,396
373,43,394
374,46,403
375,49,390
376,46,402
377,46,397
378,50,379
379,58,372
380,38,369
381,61,401
382,59,339
383,64,364
384,66,398
385,71,365
386,72,345
387,54,358
388,70,357
389,87,380
390,90,374
391,84,396
392,91,390
393,77,400
394,97,355
395,101,417
396,102,368
397,92,372
398,79,379
399,107,379
400,94,357
401,110,385
402,98,405
403,104,395
404,72,386
405,97,378
406,93,357
407,87,352
408,71,369
409,91,358
410,82,354
411,60,364
412,69,361
413,73,347
414,62,352
415,61,353
416,56,354
417,42,370
418,55,354
419,36,363
420,48,346
421,46,328
422,55,371
423,42,350
424,38,366
425,46,373
426,38,341
427,42,313
428,42,349
429,46,322
430,43,360
431,32,327
432,30,341
433,35,341
434,31,324
435,39,353
436,37,343
437,30,313
438,38,366
439,28,348
440,32,335
441,34,351
442,33,359
443,40,346
444,30,384
445,36,340
446,32,342
447,29,340
448,37,343
449,30,340
450,29,342
451,39,315
452,30,308
453,43,328
454,45,354
455,33,367
456,42,374
457,39,337
458,31,313
459,48,318
460,25,351
461,33,335
462,31,330
463,49,388
464,31,371
465,48,388
466,35,407
467,35,327
468,27,375
469,35,355
470,41,362
471,30,359
472,39,337
473,46,353
474,45,377
475,48,364
476,25,345
477,24,346
478,35,325
479,31,336
480,37,336
481,33,341
482,32,368
483,28,362
484,45,376
485,27,352
486,35,397
487,56,330
488,32,318
489,36,342
490,33,345
491,29,376
492,31,369
493,43,328
494,37,364
495,31,353
496,33,398
497,31,345
498,41,334
499,29,352
500,35,332
501,32,356
502,46,331
503,30,362
504,38,360
505,38,342
506,28,335
507,40,329
508,30,334
509,25,305
510,36,325
511,30,357
512,43,340
513,38,354
514,38,344
515,32,335
516,29,338
517,25,333
518,41,286
519,27,319
520,36,318
521,33,323
522,36,307
523,26,302
524,18,332
525,35,318
526,28,347
527,29,309
528,40,340
529,34,303
530,24,302
531,35,332
532,28,302
533,33,319
534,36,330
535,46,317
536,42,334
537,28,309
538,40,319
539,23,316
