Code,Country,over65_2011
AU,Australia,13.7
AT,Austria,17.7
BE,Belgium,17.3
CA,Canada,14.7
CL,Chile,9.3
CZ,Czech Republic,16.2
DK,Denmark,17.1
EE,Estonia,17.2
FI,Finland,17.8
FR,France,17.1
DE,Germany,20.7
GR,Greece,19.5
HU,Hungary,16.8
IS,Iceland,12.9
IE,Ireland,12.2
IL,Israel,10
IT,Italy,21
JP,Japan,23.3
KR,Korea,11.4
LU,Luxembourg,13.9
MX,Mexico,6.1
NL,Netherlands,15.9
NZ,New Zealand,13.3
NO,Norway,15.2
PL,Poland,13.9
PT,Portugal,19
SK,Slovak Republic,12.7
SI,Slovenia,16.8
ES,Spain,17.6
SE,Sweden,19.3
CH,Switzerland,17.1
TR,Turkey,7.9
GB,United Kingdom,16.2
US,United States,13.2
