区名,賛成,反対,有権者男,有権者女,投票者男,投票者女,期日前投票,不在者投票,前回期日前投票,前回不在者投票
北区,36019,25001,44878,49250,28600,32648,17219,304,11702,331
都島区,30135,26671,38921,43316,26355,30656,12716,232,8525,331
福島区,21586,17267,26565,30233,17969,21015,9642,138,6456,167
此花区,17597,18872,26435,28035,16999,19607,9405,255,6007,312
中央区,24336,20657,33469,38350,20527,24630,10462,181,7094,227
西区,26094,19160,32816,37471,20772,24644,10029,228,6652,300
港区,21410,23351,32593,34080,21006,23927,11120,272,7168,486
大正区,16646,21211,27006,28153,17729,20259,12032,340,7662,362
天王寺区,18327,20815,24801,29973,17535,21781,10766,270,6936,318
浪速区,13563,12189,25320,23616,12966,12884,6957,170,4943,248
西淀川区,23670,28337,37413,38414,24690,27496,12239,384,7123,381
淀川区,48566,38903,67997,70518,41705,46143,16880,446,10841,551
東淀川区,43388,41340,67037,69316,40023,45041,21794,573,15134,684
東成区,20689,20667,29075,32010,19268,22282,9752,243,6535,296
生野区,25396,29190,40412,43474,25479,29343,10789,342,7289,479
旭区,23145,28048,35282,39089,23804,27598,13148,271,9199,446
城東区,46728,45784,62426,69665,42802,50048,23984,424,15485,645
鶴見区,29859,29752,40464,45388,27481,32352,16420,276,10924,383
阿倍野区,30434,32446,38611,46743,28174,34960,15377,407,10407,463
住之江区,33184,36880,48130,52737,32252,38062,23213,604,16467,600
住吉区,38623,45950,57187,66362,38253,46693,22490,706,14007,618
東住吉区,34079,37322,49728,55728,32921,38843,17984,586,11952,565
平野区,46072,56959,73233,82294,46700,56818,28005,829,17627,805
西成区,25298,28813,53191,36871,29603,24741,16780,533,12272,622
