Age,Male,Female
0,488646,468544
1,496812,473524
2,514340,492351
3,517889,494877
4,533234,507489
5,535281,508688
6,540338,514398
7,550486,524514
8,546601,520353
9,541885,517243
10,543132,517942
11,561901,536997
12,573235,545320
13,590503,561721
14,599253,569313
15,615314,580245
16,615201,581786
17,624601,590136
18,618127,588423
19,612173,582382
20,618294,590999
21,613685,586960
22,600363,575793
23,608260,584220
24,605790,583763
25,616202,596497
26,631361,611419
27,653268,631629
28,670795,651192
29,684091,663158
30,709122,692947
31,732061,716873
32,744101,727730
33,744738,730603
34,754725,737978
35,787195,770654
36,808838,790480
37,840265,822348
38,863248,843804
39,904656,884669
40,944154,924082
41,997639,974075
42,1011220,994671
43,994781,974693
44,966224,950679
45,936899,922380
46,920877,909657
47,899784,890291
48,898229,888578
49,699088,697021
50,863615,859623
51,808872,805459
52,787394,786137
53,760465,760939
54,747965,749827
55,750627,757242
56,764221,771731
57,740862,753175
58,719326,732630
59,754487,770945
60,779239,796734
61,776097,798314
62,820184,851456
63,864252,902301
64,911347,955086
65,972084,1026866
66,1058636,1124914
67,1041367,1114989
68,982794,1055137
69,604781,662299
70,637232,714557
71,765578,869144
72,732095,838593
73,740270,859848
74,707265,831229
75,628530,751834
76,533884,650373
77,551102,690948
78,547285,701764
79,526616,694520
80,477824,655790
81,427524,611232
82,400898,600593
83,364913,567833
84,323167,531646
85,277905,483243
86,243196,452247
87,210328,414115
88,177750,373861
89,147462,337150
90,113513,289174
91,83931,238297
92,60680,201919
93,43318,159631
94,31893,126764
95,24835,106487
96,14809,67118
97,10882,53244
98,7540,39819
99,5199,29414
100,3292,19096
101,2244,13614
102,1355,8880
103,738,5391
104,362,2875
105,194,1631
106,106,911
107,48,477
108,26,267
109,9,101
110,9,137
NA,828411,625347
