番号,都道府県,男,女
01,北海道,2450393,2733294
02,青森,589143,653938
03,岩手,581809,624670
04,宮城,1106183,1162172
05,秋田,452370,504466
06,山形,511409,545273
07,福島,904388,936856
08,茨城,1449442,1440935
09,栃木,971696,970798
10,群馬,963793,979874
11,埼玉,3688311,3697537
12,千葉,3144185,3166690
13,東京,6775557,7019376
14,神奈川,4590365,4624845
15,新潟,1063921,1124548
16,富山,504246,533073
17,石川,545337,579164
18,福井,373811,393750
19,山梨,400782,415558
20,長野,1006127,1050843
21,岐阜,973512,1023170
22,静岡,1808923,1849452
23,愛知,3768579,3759940
24,三重,874651,910317
25,滋賀,698857,716365
26,京都,1202274,1309220
27,大阪,4237852,4562901
28,兵庫,2627723,2860882
29,奈良,633250,702128
30,和歌山,442960,492124
31,鳥取,264259,287547
32,島根,320824,345507
33,岡山,908551,970729
34,広島,1354102,1434585
35,山口,638139,702319
36,徳島,348034,378695
37,香川,466996,497889
38,愛媛,637522,704017
39,高知,327834,365535
40,福岡,2430957,2677550
41,佐賀,386622,425571
42,長崎,622766,697289
43,熊本,829853,917660
44,大分,538934,592206
45,宮崎,511039,567274
46,鹿児島,759364,846055
47,沖縄,732981,752689
