番号,都道府県,総人口_千人,男_千人,女_千人,性比
01,北海道,5183,2446,2737,89.4
02,青森,1221,575,646,89.1
03,岩手,1196,577,620,93.0
04,宮城,2290,1117,1174,95.2
05,秋田,945,446,499,89.3
06,山形,1055,511,544,93.8
07,福島,1812,894,918,97.4
08,茨城,2852,1423,1428,99.6
09,栃木,1921,958,963,99.5
10,群馬,1927,953,974,97.9
11,埼玉,7340,3646,3694,98.7
12,千葉,6275,3111,3164,98.3
13,東京,14010,6875,7135,96.4
14,神奈川,9236,4584,4652,98.5
15,新潟,2177,1057,1120,94.4
16,富山,1025,498,527,94.5
17,石川,1125,546,579,94.3
18,福井,760,371,389,95.3
19,山梨,805,395,410,96.4
20,長野,2033,994,1040,95.6
21,岐阜,1961,952,1009,94.3
22,静岡,3608,1778,1829,97.2
23,愛知,7517,3746,3771,99.3
24,三重,1756,857,898,95.4
25,滋賀,1411,696,715,97.3
26,京都,2561,1223,1339,91.3
27,大阪,8806,4216,4590,91.9
28,兵庫,5432,2582,2850,90.6
29,奈良,1315,619,696,89.0
30,和歌山,914,431,483,89.2
31,鳥取,549,262,286,91.6
32,島根,665,322,343,93.7
33,岡山,1876,902,974,92.6
34,広島,2780,1347,1432,94.1
35,山口,1328,630,697,90.5
36,徳島,712,340,372,91.4
37,香川,942,455,487,93.4
38,愛媛,1321,627,694,90.2
39,高知,684,323,361,89.5
40,福岡,5124,2425,2698,89.9
41,佐賀,806,382,424,90.1
42,長崎,1297,610,687,88.8
43,熊本,1728,818,910,89.9
44,大分,1114,529,585,90.4
45,宮崎,1061,501,560,89.5
46,鹿児島,1576,743,833,89.3
47,沖縄,1468,723,745,97.0
