http://www.pref.fukushima.jp/j/schoolmonitamatome.pdf
,,,,,※測定値（μSv/h）,,,タウンページなど,Google Maps API
市町村,No.,区分,調査地点,調査月日,1m高さ,1cm高さ,備考,住所,緯度,経度
福島市,1,公立小学校,福島市立御山小学校,2011/04/05,4.9,6.3,,福島県福島市御山字長滝1-1,37.778695,140.458548
福島市,2,公立小学校,福島市立三河台小学校,2011/04/05,3.3,4.1,,福島県福島市三河南町17-7,37.757742,140.4538
福島市,3,公立小学校,福島市立松川小学校,2011/04/05,2.3,2.7,,福島県福島市松川町字南諏訪原31-1,37.656167,140.46437
福島市,4,公立小学校,福島市立下川崎小学校,2011/04/05,4.2,4.9,,福島県福島市松川町沼袋字戸ノ内832-3,37.644727,140.50022
福島市,5,公立小学校,福島市立水原小学校,2011/04/05,2.1,2.7,,福島県福島市松川町水原字戸ノ内31,37.665687,140.420651
福島市,6,公立小学校,福島市立金谷川小学校,2011/04/05,3.1,3.8,,福島県福島市松川町浅川字陳場21,37.683573,140.465394
福島市,7,公立小学校,福島市立森合小学校,2011/04/05,3,3.8,,福島県福島市森合字中谷地2-3,37.767441,140.448938
福島市,8,公立小学校,福島市立第一小学校,2011/04/05,3.2,5.3,,福島県福島市杉妻町1-24,37.751996,140.466665
福島市,9,公立小学校,福島市立青木小学校,2011/04/05,3.5,4.4,,福島県福島市飯野町青木字松保6,37.676297,140.53348
福島市,10,公立小学校,福島市立大久保小学校,2011/04/05,3.8,4.7,,福島県福島市飯野町大久保字田端38,37.665473,140.547573
福島市,11,公立小学校,福島市立飯野小学校,2011/04/05,3.5,4.2,,福島県福島市飯野町明治字遠久内2,37.65709,140.529422
福島市,12,公立小学校,福島市立福島第二小学校,2011/04/05,4.2,5.3,,福島県福島市浜田町2-1,37.759387,140.473134
福島市,13,公立小学校,福島市立杉妻小学校,2011/04/05,2.4,2.8,,福島県福島市伏拝字沢口18,37.724088,140.463536
福島市,14,公立小学校,福島市立蓬莱小学校,2011/04/05,2.6,3,,福島県福島市蓬莱町4丁目2-1,37.699727,140.472548
福島市,15,公立小学校,福島市立蓬莱東小学校,2011/04/05,2.6,3,,福島県福島市蓬莱町7丁目1-1,37.693053,140.482844
福島市,16,公立小学校,福島市立立子山小学校,2011/04/05,3,3.4,,福島県福島市立子山字仲森38-1,37.683279,140.516609
福島市,17,公立小学校,福島市立南向台小学校,2011/04/06,4.2,5.6,,福島県福島市南向台2丁目36-1,37.725365,140.481965
福島市,18,公立小学校,福島市立大森小学校,2011/04/06,1.7,1.7,,福島県福島市大森字南中道4,37.727148,140.441899
福島市,19,公立小学校,福島市立平野小学校,2011/04/06,3,3.7,,福島県福島市飯坂町平野字石堂10,37.803648,140.44691
福島市,20,公立小学校,福島市立飯坂小学校,2011/04/06,2.5,3.1,,福島県福島市飯坂町字桜下1,37.832653,140.446964
福島市,21,公立小学校,福島市立茂庭小学校,2011/04/06,0.8,0.9,,福島県福島市飯坂町茂庭字遠西96-1,37.899956,140.431754
福島市,22,公立小学校,福島市立湯野小学校,2011/04/06,2.1,2.5,にしね幼稚園と同一敷地,福島県福島市飯坂町東湯野字尻明1,37.822972,140.479662
福島市,23,公立小学校,福島市立東湯野小学校,2011/04/06,1.7,2.1,,福島県福島市飯坂町東湯野字尻明1,37.822972,140.479662
福島市,24,公立小学校,福島市立中野小学校,2011/04/06,2.5,3.1,,福島県福島市飯坂町中野字東森23,37.826334,140.431099
福島市,25,公立小学校,福島市立平田小学校,2011/04/06,1.9,2.3,,福島県福島市小田字本内26,37.710597,140.430818
福島市,26,公立小学校,福島市立平石小学校,2011/04/06,2.6,3.1,,福島県福島市平石字長屋敷1-1,37.700885,140.447014
福島市,27,公立小学校,福島市立第三小学校,2011/04/06,4.8,6.2,,福島県福島市松浪町3-46,37.766403,140.477625
福島市,28,公立小学校,福島市立大笹生小学校,2011/04/06,2.2,2.5,,福島県福島市大笹生字緑田1,37.799078,140.402567
福島市,29,公立小学校,福島市立庭坂小学校,2011/04/06,1.7,2,,福島県福島市町庭坂字愛宕堂1-1,37.772797,140.380195
福島市,30,公立小学校,福島市立庭塚小学校,2011/04/06,1.2,1.4,,福島県福島市在庭坂字薬師田19,37.757568,140.374794
福島市,31,公立小学校,福島市立笹谷小学校,2011/04/06,3.2,3.8,,福島県福島市笹谷字上町18,37.795626,140.424143
福島市,32,公立小学校,福島市立渡利小学校,2011/04/06,4.8,6,,福島県福島市渡利字八幡町120,37.750332,140.478762
福島市,33,公立小学校,福島市立吉井田小学校,2011/04/07,2.6,3.2,,福島県福島市吉倉字桜内48,37.744743,140.432436
福島市,34,公立小学校,福島市立鳥川小学校,2011/04/07,1.7,2.2,,福島県福島市上鳥渡字茶中40,37.734416,140.417666
福島市,35,公立小学校,福島市立荒井小学校,2011/04/07,1.3,1.6,,福島県福島市荒井北3丁目7-4,37.724611,140.387872
福島市,36,公立小学校,福島市立土湯小学校,2011/04/07,0.41,0.5,,福島県福島市土湯温泉町字菅ノ沢48,37.681037,140.329488
福島市,37,公立小学校,福島市立佐原小学校,2011/04/07,0.98,1.1,,福島県福島市佐原字田中前24,37.722711,140.355606
福島市,38,公立小学校,福島市立佐倉小学校,2011/04/07,1.3,1.5,,福島県福島市上名倉字大光内1,37.732957,140.390269
福島市,39,公立小学校,福島市立大波小学校,2011/04/07,4.8,6.1,,福島県福島市大波字滝ノ入1,37.757981,140.554739
福島市,40,公立小学校,福島市立岡山小学校,2011/04/07,3.8,4.7,,福島県福島市山口字上中田43,37.771978,140.511233
福島市,41,公立小学校,福島市立月輪小学校,2011/04/07,2.7,3.4,,福島県福島市鎌田字早津小屋12,37.790757,140.509774
福島市,42,公立小学校,福島市瀬上小学校,2011/04/07,2.6,3.3,,福島県福島市瀬上町字一ノ坪28,37.804663,140.490381
福島市,43,公立小学校,福島市立鎌田小学校,2011/04/07,2.8,3.4,,福島県福島市丸子字石名田6,37.786343,140.482632
福島市,44,公立小学校,福島市立余目小学校,2011/04/07,2.6,3.3,,福島県福島市宮代字瘤石45,37.806374,140.473332
福島市,45,公立小学校,福島市立矢野目小学校,2011/04/07,3,3.7,,福島県福島市南矢野目字関端2-1,37.790333,140.464034
福島市,46,公立小学校,福島市立福島第四小学校,2011/04/07,3.4,4.5,,福島県福島市天神町11-31,37.759923,140.463549
福島市,47,公立小学校,福島市立清明小学校,2011/04/07,3.2,4.7,,福島県福島市清明町9-31,37.745843,140.462444
福島市,48,公立小学校,福島市立水保小学校,2011/04/07,1.3,1.7,,福島県福島市土船字原野町19-1,37.748864,140.384649
福島市,49,公立小学校,福島市立野田小学校,2011/04/07,2.3,2.7,,福島県福島市笹木野字町尻2,37.771442,140.423424
福島市,50,公立小学校,福島市立北沢又小学校,2011/04/07,3.2,3.6,,福島県福島市北沢又字愛宕1,37.78593,140.431565
福島市,51,公立小学校,福島市立清水小学校,2011/04/07,3,3.5,,福島県福島市南沢又字柳清水20,37.780139,140.442886
福島市,52,国立小学校,福島大学付属小学校,2011/04/05,4.3,5.4,,福島県福島市新浜町4-6,37.761217,140.469279
福島市,53,私立小学校,桜の聖母学院小学校,2011/04/05,4.2,5.3,,福島県福島市花園町4-8,37.762361,140.472378
福島市,54,公立中学校,福島市立信陵中学校,2011/04/05,3.7,4.6,,福島県福島市笹谷字島原2,37.78948,140.432634
福島市,55,公立中学校,福島市立松陵中学校,2011/04/05,2.4,2.8,,福島県福島市松川町字上桜内3-4,37.656714,140.461187
福島市,56,公立中学校,福島市立岳陽中学校,2011/04/05,3.7,4.5,,福島県福島市須川町1-33,37.751204,140.454366
福島市,57,公立中学校,福島市立飯野中学校,2011/04/05,3.4,4,,福島県福島市飯野町字西志保井1-1,37.658771,140.531706
福島市,58,公立中学校,福島市立蓬莱中学校,2011/04/05,2.8,3.2,,福島県福島市蓬莱町5丁目14-1,37.695702,140.479795
福島市,59,公立中学校,福島市立立子山中学校,2011/04/05,3.2,3.4,,福島県福島市立子山字大稲場20,37.680793,140.51782
福島市,60,公立中学校,福島市立平野中学校,2011/04/06,3.9,4.6,,福島県福島市飯坂町平野字舘ノ前3-3,37.803823,140.438474
福島市,61,公立中学校,福島市立信夫中学校,2011/04/06,1.9,2.3,,福島県福島市大森字南内町31-1,37.723357,140.436153
福島市,62,公立中学校,福島市立大鳥中学校,2011/04/06,2.8,3.2,,福島県福島市飯坂町字舘11,37.8318,140.445183
福島市,63,公立中学校,福島市立茂庭中学校,2011/04/06,0.4,0.5,,福島県福島市飯坂町茂庭字岡畑9,37.920315,140.424829
福島市,64,公立中学校,福島市立渡利中学校,2011/04/06,5.4,6.9,,福島県福島市渡利字平内町106,37.745138,140.479006
福島市,65,公立中学校,福島市立吾妻中学校,2011/04/06,1.3,1.5,,福島県福島市町庭坂字原田8,37.764423,140.377291
福島市,66,公立中学校,福島市立西根中学校,2011/04/06,1.5,1.7,,福島県福島市飯坂町湯野字大平2,37.832912,140.466709
福島市,67,公立中学校,福島市立福島第四中学校,2011/04/07,3.5,4.5,,福島県福島市南平5-8,37.766355,140.461149
福島市,68,公立中学校,福島市立西信中学校,2011/04/07,1.1,1.3,,福島県福島市上名倉字道上6,37.727424,140.385506
福島市,69,公立中学校,福島市立福島第二中学校,2011/04/07,4.1,5.7,,福島県福島市桜木町5-20,37.761834,140.478569
福島市,70,公立中学校,福島市立福島第三中学校,2011/04/07,3.5,4.3,,福島県福島市古川44-2,37.776558,140.491043
福島市,71,公立中学校,福島市立北信中学校,2011/04/07,2.7,3.1,,福島県福島市鎌田字御仮家20,37.798947,140.479938
福島市,72,公立中学校,福島市立福島第一中学校,2011/04/07,3.8,4.8,,福島県福島市南町480,37.741355,140.463683
福島市,73,公立中学校,福島市立野田中学校,2011/04/07,2.5,3,,福島県福島市笹木野字市街道28-1,37.760696,140.421241
福島市,74,公立中学校,福島市立清水中学校,2011/04/07,3,3.7,,福島県福島市南沢又字清水端23,37.772401,140.436042
福島市,75,国立中学校,福島大学付属中学校,2011/04/05,4.7,5.9,,福島県福島市浜田町12-26,37.759131,140.477342
福島市,76,私立中学校,福島成蹊中学校,2011/04/07,4.5,5.7,,福島県福島市腰浜町15-21,37.757062,140.481933
福島市,77,私立中学校,桜の聖母学院中学校,2011/04/07,2.7,3.2,,福島県福島市野田町7丁目11-1,37.760094,140.444772
福島市,78,公立幼稚園,福島市立金谷川幼稚園,2011/04/05,2.8,3.6,,福島県福島市松川浅川陳場21,37.653818,140.48443
福島市,79,公立幼稚園,福島市立まつかわ西幼稚園,2011/04/05,2,2.9,,福島県福島市松川町字稲荷17-1,37.65938,140.458251
福島市,80,公立幼稚園,福島市立まつかわ東幼稚園,2011/04/05,3.2,4.4,,福島県福島市松川町沼袋字戸ノ内832-2,37.645366,140.500042
福島市,81,公立幼稚園,福島市立森合幼稚園,2011/04/05,2.5,3.5,,福島県福島市森合字谷地3-2,37.766541,140.448577
福島市,82,公立幼稚園,福島市立ふくしま南幼稚園,2011/04/05,2.6,3.6,,福島県福島市杉妻町1-27,37.751807,140.467424
福島市,83,公立幼稚園,福島市立飯野幼稚園,2011/04/05,2.9,3.8,,福島県福島市飯野町字経檀46-5,37.652741,140.533658
福島市,84,公立幼稚園,福島大学付属幼稚園,2011/04/05,4.1,5.6,,福島県福島市浜田町12-39,37.759359,140.476461
福島市,85,公立幼稚園,福島市立杉妻幼稚園,2011/04/05,1.8,2.5,,福島県福島市伏拝字沢口18-1,37.724088,140.463536
福島市,86,公立幼稚園,福島市立ほうらい幼稚園,2011/04/05,2.6,3.4,,福島県福島市蓬莱町7丁目1-2,37.693486,140.481969
福島市,87,公立幼稚園,福島市立ひらの幼稚園,2011/04/06,2.8,3.9,,福島県福島市飯坂町平野字西石堂43-1,37.810289,140.441474
福島市,88,公立幼稚園,福島市立おおとり幼稚園,2011/04/06,2.1,2.9,,福島県福島市飯坂町字桜下1-1,37.833489,140.446503
福島市,89,公立幼稚園,福島市立渡利幼稚園,2011/04/06,4.8,6.5,,福島県福島市渡利字沖町128,37.747171,140.480823
