datetime,max,min,avg
2011/03/01 00:00,0.0370,0.0316,0.0338
2011/03/01 01:00,0.0368,0.0324,0.0342
2011/03/01 02:00,0.0357,0.0325,0.0340
2011/03/01 03:00,0.0371,0.0322,0.0343
2011/03/01 04:00,0.0363,0.0321,0.0342
2011/03/01 05:00,0.0360,0.0317,0.0339
2011/03/01 06:00,0.0364,0.0313,0.0338
2011/03/01 07:00,0.0370,0.0320,0.0341
2011/03/01 08:00,0.0377,0.0321,0.0355
2011/03/01 09:00,0.0388,0.0342,0.0369
2011/03/01 10:00,0.0372,0.0318,0.0348
2011/03/01 11:00,0.0363,0.0320,0.0338
2011/03/01 12:00,0.0367,0.0321,0.0338
2011/03/01 13:00,0.0358,0.0315,0.0337
2011/03/01 14:00,0.0363,0.0313,0.0336
2011/03/01 15:00,0.0371,0.0318,0.0342
2011/03/01 16:00,0.0439,0.0353,0.0403
2011/03/01 17:00,0.0438,0.0395,0.0417
2011/03/01 18:00,0.0439,0.0397,0.0422
2011/03/01 19:00,0.0429,0.0388,0.0410
2011/03/01 20:00,0.0434,0.0375,0.0409
2011/03/01 21:00,0.0461,0.0410,0.0434
2011/03/01 22:00,0.0450,0.0382,0.0420
2011/03/01 23:00,0.0456,0.0389,0.0428
2011/03/02 00:00,0.0419,0.0350,0.0383
2011/03/02 01:00,0.0384,0.0333,0.0359
2011/03/02 02:00,0.0370,0.0332,0.0350
2011/03/02 03:00,0.0367,0.0320,0.0345
2011/03/02 04:00,0.0366,0.0316,0.0344
2011/03/02 05:00,0.0372,0.0315,0.0344
2011/03/02 06:00,0.0368,0.0325,0.0342
2011/03/02 07:00,0.0365,0.0319,0.0338
2011/03/02 08:00,0.0363,0.0318,0.0343
2011/03/02 09:00,0.0364,0.0314,0.0342
2011/03/02 10:00,0.0362,0.0323,0.0341
2011/03/02 11:00,0.0353,0.0315,0.0339
2011/03/02 12:00,0.0367,0.0318,0.0340
2011/03/02 13:00,0.0366,0.0311,0.0338
2011/03/02 14:00,0.0370,0.0321,0.0342
2011/03/02 15:00,0.0359,0.0316,0.0338
2011/03/02 16:00,0.0374,0.0320,0.0344
2011/03/02 17:00,0.0361,0.0323,0.0342
2011/03/02 18:00,0.0360,0.0316,0.0344
2011/03/02 19:00,0.0360,0.0325,0.0341
2011/03/02 20:00,0.0374,0.0311,0.0341
2011/03/02 21:00,0.0367,0.0318,0.0342
2011/03/02 22:00,0.0371,0.0325,0.0344
2011/03/02 23:00,0.0367,0.0318,0.0342
2011/03/03 00:00,0.0371,0.0315,0.0343
2011/03/03 01:00,0.0375,0.0327,0.0344
2011/03/03 02:00,0.0368,0.0322,0.0342
2011/03/03 03:00,0.0363,0.0325,0.0343
2011/03/03 04:00,0.0363,0.0316,0.0344
2011/03/03 05:00,0.0371,0.0322,0.0344
2011/03/03 06:00,0.0362,0.0318,0.0339
2011/03/03 07:00,0.0362,0.0321,0.0342
2011/03/03 08:00,0.0367,0.0323,0.0340
2011/03/03 09:00,0.0377,0.0311,0.0339
2011/03/03 10:00,0.0358,0.0318,0.0338
2011/03/03 11:00,0.0375,0.0322,0.0341
2011/03/03 12:00,0.0359,0.0312,0.0340
2011/03/03 13:00,0.0356,0.0314,0.0339
2011/03/03 14:00,0.0366,0.0315,0.0338
2011/03/03 15:00,0.0360,0.0316,0.0339
2011/03/03 16:00,0.0363,0.0304,0.0338
2011/03/03 17:00,0.0355,0.0319,0.0335
2011/03/03 18:00,0.0374,0.0310,0.0338
2011/03/03 19:00,0.0363,0.0321,0.0341
2011/03/03 20:00,0.0357,0.0316,0.0339
2011/03/03 21:00,0.0366,0.0309,0.0338
2011/03/03 22:00,0.0365,0.0315,0.0340
2011/03/03 23:00,0.0360,0.0313,0.0338
2011/03/04 00:00,0.0356,0.0311,0.0339
2011/03/04 01:00,0.0360,0.0326,0.0342
2011/03/04 02:00,0.0363,0.0315,0.0339
2011/03/04 03:00,0.0367,0.0311,0.0339
2011/03/04 04:00,0.0370,0.0322,0.0343
2011/03/04 05:00,0.0375,0.0322,0.0340
2011/03/04 06:00,0.0363,0.0318,0.0341
