都道府県,男子児童数,男子身長,男子体重,男子肥満,男子普通,男子痩身,女子児童数,女子身長,女子体重,女子肥満,女子普通,女子痩身
北海道,21007,139.52,35.44,14.3,83.2,2.5,20032,140.71,34.87,10.3,86.8,2.9
青森県,5005,139.96,35.8,14.5,83.4,2.2,5024,141.7,35.86,11.2,86,2.8
岩手県,5110,139.59,35.56,13.9,83.9,2.2,5012,141.01,35.49,10.9,86.8,2.3
宮城県,9938,139.45,35.2,13.4,84.3,2.3,9382,140.58,34.96,10.1,87.6,2.3
秋田県,3794,140.41,35.98,13.5,83.8,2.7,3646,141.61,35.46,9.9,88.1,2
山形県,4616,139.57,35.46,14.2,84,1.8,4473,140.84,35.21,10.6,87.8,1.6
福島県,7800,139.21,35.41,15.1,82.9,2,7724,140.33,34.98,11.5,86.6,1.9
茨城県,13047,138.93,34.69,12.9,84.8,2.3,12335,140.16,34.53,9.5,88.4,2.2
栃木県,8761,138.96,34.86,13.2,84.7,2,8343,140.14,34.62,10.1,88.2,1.7
群馬県,8553,138.82,34.54,12.3,85.4,2.2,8526,140.05,34.42,9.7,87.7,2.6
埼玉県,31393,138.98,33.99,9.6,87.6,2.8,29964,140.17,33.94,7.4,89.7,2.9
千葉県,26492,139.13,34.03,9.7,87.4,2.9,25576,140.23,33.82,7.1,89.9,3.1
東京都,47677,139.31,34.04,8.6,88.4,3,44956,140.29,33.8,6.5,90.5,3
神奈川県,37294,139.11,33.81,8.8,87.9,3.3,35698,140.14,33.55,6.4,90.2,3.4
新潟県,9404,139.64,34.61,10.1,86.6,3.2,9099,140.94,34.49,7.9,89.3,2.8
富山県,4515,139.45,34.43,9.8,87.5,2.7,4214,140.57,34.23,7.7,89.1,3.2
石川県,4986,139.33,34.3,9.5,88.1,2.4,4917,140.37,34.06,6.8,90.7,2.5
福井県,3637,139.22,34.21,8.6,89.4,2.1,3459,140.27,33.93,6.2,91.8,2
山梨県,3391,138.77,34.27,11.8,85.4,2.8,3402,139.95,34.1,9,88.8,2.2
長野県,9344,138.68,33.84,9.9,87.5,2.6,8928,139.73,33.63,7.5,89.4,3
岐阜県,9223,138.51,33.72,9.3,88.4,2.3,8924,139.78,33.62,6.9,90.6,2.5
静岡県,16079,138.47,33.52,9,88.3,2.7,15702,139.65,33.45,6.6,91.1,2.4
愛知県,34699,138.54,33.45,8.8,88.2,3,33150,139.66,33.3,6.4,90.6,3
三重県,8127,138.83,34,10.4,86.7,2.9,7841,139.92,33.82,7.3,90.3,2.4
滋賀県,6991,138.9,33.39,7.1,89.6,3.3,6479,140.02,33.35,5.7,90.5,3.8
京都府,10529,139.05,33.59,7.6,89.3,3.1,10126,140.09,33.54,5.7,91.3,3
大阪府,36623,138.77,33.76,9,88.1,2.9,35401,139.99,33.65,6.9,90.2,2.9
兵庫県,24011,138.71,33.42,7.9,89,3,23095,139.9,33.35,6,90.9,3.2
奈良県,5681,138.74,33.79,8.9,88.6,2.5,5548,140.12,33.93,7.4,89.8,2.8
和歌山県,3922,138.67,34.06,10.7,87.1,2.2,3745,140.22,34.44,9,88.8,2.1
鳥取県,2475,138.87,33.52,7.3,90,2.7,2387,140.05,33.96,7.7,90,2.2
島根県,2997,138.24,33.25,7.8,89.9,2.3,2875,139.56,33.55,6.4,91.5,2.1
岡山県,8533,138.4,33.64,9.4,88.2,2.3,7986,139.58,33.66,7.5,90.2,2.2
広島県,12479,138.27,33.65,10,87.8,2.2,11949,139.4,33.64,7.7,90.3,2
山口県,5668,137.96,33.34,8.9,89,2.2,5498,139.22,33.45,7,91.1,1.8
徳島県,2938,138.71,34.4,11.7,86,2.3,2741,139.99,34.56,9.6,89.1,1.3
香川県,4215,138.25,33.66,9.2,88.7,2.1,4142,139.72,33.88,7.7,89.8,2.5
愛媛県,5902,138.28,33.73,10.1,87.9,2.1,5665,139.49,33.61,7.6,90.5,1.9
高知県,2871,138.03,33.73,11.1,86.5,2.4,2715,139.76,34.19,9.4,88.2,2.3
福岡県,22834,138.63,33.79,9.9,87.3,2.8,21655,140.01,33.98,7.9,89.4,2.7
佐賀県,4039,138.67,33.96,10.5,86.9,2.6,3642,139.74,34,8.2,89.7,2.1
長崎県,6000,138.54,33.81,10.1,87.8,2.1,5809,139.95,34.04,7.9,90,2.1
熊本県,8046,138.62,34.19,10.9,86.9,2.2,7795,140,34.29,8.7,89.3,2
大分県,4935,138.47,34.07,11.7,86,2.4,4863,139.82,34.18,9.7,87.8,2.5
宮崎県,5014,138.33,34.06,11.5,86.4,2.1,4783,139.74,34.34,9.6,88.7,1.7
鹿児島県,7543,137.98,33.6,10.5,87.5,2,7107,139.52,33.85,8.6,89.4,2
沖縄県,7874,137.88,33.94,12.3,85.8,1.9,7717,139.95,34.59,9.9,88.4,1.8
