Area,Gr,Cs-137,Cs-134,Co-60,Sb-125,Ru-106,Sr-90,I-129,H-3,全β,告示比
G3,A,4.16E-01,2.70E-01,5.64E-01,6.15E+00,6.99E+01,6.98E-01,4.76E+01,1.05E+06,7.22E+01,6.34
G3,B,4.16E-01,2.70E-01,5.64E-01,6.15E+00,6.99E+01,6.98E-01,4.76E+01,1.05E+06,7.22E+01,6.34
G3,C,4.16E-01,2.70E-01,5.64E-01,6.15E+00,6.99E+01,6.98E-01,4.76E+01,1.05E+06,7.22E+01,6.34
G3,D,9.01E-01,2.79E-01,1.42E+00,7.25E-01,7.55E+00,3.69E-01,2.27E+00,3.25E+05,1.86E+01,>100※2
G4,D,3.98E-01,2.62E-01,1.71E+00,1.10E+01,6.87E+01,3.48E+00,5.47E+01,2.73E+06,3.74E+01,7.21
G5,A,3.15E-01,1.98E-01,2.22E+00,1.04E+01,7.00E+01,9.00E-01,7.13E+01,3.23E+06,3.74E+01,8.98
G5,B,3.15E-01,1.98E-01,2.22E+00,1.04E+01,7.00E+01,9.00E-01,7.13E+01,3.23E+06,3.74E+01,8.98
G5,C,3.15E-01,1.98E-01,2.22E+00,1.04E+01,7.00E+01,9.00E-01,7.13E+01,3.23E+06,3.74E+01,8.98
G7,AB,6.58E-01,7.04E-01,6.51E-01,2.09E+02,3.01E+01,1.79E+00,7.46E+01,5.12E+05,2.71E+02,9.23
J1,A,3.64E+00,8.82E-01,1.32E+00,9.21E-01,9.97E+00,3.40E-01,4.42E+00,2.64E+05,2.46E+01,>100※2
J1,C,1.96E+00,5.97E-01,1.09E+00,2.78E+01,4.43E+01,5.89E+00,8.16E+01,1.13E+06,2.41E+02,>100※3
J1,D,4.72E-01,4.15E-01,1.10E+00,1.16E+02,3.21E+01,5.97E+05,7.30E+01,7.76E+05,1.00E+07,19909※4
J1,E,4.72E-01,4.15E-01,1.10E+00,1.16E+02,3.21E+01,5.97E+05,7.30E+01,7.76E+05,1.00E+04,19909※4
J1,F,4.72E-01,4.15E-01,1.10E+00,1.16E+02,3.21E+01,5.97E+05,7.30E+01,7.76E+05,1.00E+04,19909※4
J1,G,2.38E-01,2.52E-01,7.61E-01,5.86E-01,3.41E+00,3.05E-01,2.02E+00,2.98E+05,1.19E+01,>100※5
J1,H,1.22E+00,7.01E-01,1.11E+00,1.27E+02,3.70E+01,1.96E+00,8.57E+01,1.08E+06,2.49E+02,10.44
J1,K,6.31E+00,8.31E+00,2.86E+01,4.54E+01,2.20E+02,9.53E+02,6.69E+00,4.46E+05,3.29E+05,35.43
J1,L,2.81E-01,4.70E-01,1.39E+00,1.46E+02,2.30E+01,1.28E+01,4.41E+01,5.10E+05,2.09E+02,6.05
J1,M,2.81E-01,4.70E-01,1.39E+00,1.46E+02,2.30E+01,1.28E+01,4.41E+01,5.10E+05,2.09E+02,6.05
J1,N,1.90E+00,5.13E-01,1.18E+00,1.43E+01,2.51E+01,3.13E+00,4.16E+01,7.41E+05,1.00E+04,>100※6
J2,ABDF,4.80E+00,1.49E+00,9.60E-01,2.49E+01,4.06E+01,1.71E+01,2.95E+01,1.52E+06,1.27E+02,4.67
J2,C,2.95E+00,1.11E+00,6.84E-01,3.77E+01,3.08E+01,6.07E+01,3.81E+01,1.52E+06,1.69E+02,6.97
J2,E,3.24E+00,1.19E+00,6.18E-01,3.27E+01,3.01E+01,6.23E+01,4.49E+01,1.39E+06,1.72E+02,7.76
J2,G,3.28E+00,1.20E+00,5.73E-01,3.21E+01,2.82E+01,6.72E+01,4.49E+01,1.39E+06,1.71E+02,7.91
J2,K,3.01E+00,1.14E+00,7.00E-01,4.01E+01,2.93E+01,5.82E+01,3.66E+01,1.61E+06,1.56E+02,6.70
J2,HLM,4.80E+00,1.48E+00,9.47E-01,2.44E+01,4.02E+01,1.64E+01,2.96E+01,1.48E+06,1.27E+02,4.65
J3,A,2.28E+00,1.22E+00,1.10E+00,3.07E+01,3.96E+01,1.41E+02,2.19E+01,9.92E+05,1.65E+05,7.91
J3,B,3.09E+00,1.18E+00,9.52E-01,3.90E+01,4.17E+01,7.16E+01,3.91E+01,1.21E+06,6.60E+04,7.55
J3,C,3.09E+00,1.18E+00,9.52E-01,3.90E+01,4.17E+01,7.16E+01,3.91E+01,1.21E+06,6.60E+04,7.55
J3,DEF,3.74E+00,1.24E+00,9.30E-01,4.06E+01,4.00E+01,4.75E+01,4.46E+01,1.24E+06,3.01E+04,7.55
J4,A,4.24E+00,1.76E+00,2.25E+00,2.53E+01,3.71E+01,1.87E+02,2.09E+01,1.22E+06,8.24E+04,9.33
J4,B,4.24E+00,1.76E+00,2.25E+00,2.53E+01,3.71E+01,1.87E+02,2.09E+01,1.22E+06,8.24E+04,9.33
J4,C,4.24E+00,1.76E+00,2.25E+00,2.53E+01,3.71E+01,1.87E+02,2.09E+01,1.22E+06,8.24E+04,9.33
J4,D,4.95E+00,3.40E+00,7.32E+00,2.99E+01,7.65E+01,3.05E+02,2.30E+01,1.27E+06,8.24E+04,13.96
J4,E,7.76E+00,9.30E+00,1.74E+01,6.36E+01,1.90E+02,1.05E+03,3.82E+01,1.00E+06,1.65E+05,41.91
J4,F,4.30E+00,3.46E+00,4.24E+00,5.29E+01,7.44E+01,1.96E+02,5.57E+01,7.59E+05,4.99E+04,13.96
J4,G,4.30E+00,3.46E+00,4.24E+00,5.29E+01,7.44E+01,1.96E+02,5.57E+01,7.59E+05,4.99E+04,13.96
J4,H,4.30E+00,3.46E+00,4.24E+00,5.29E+01,7.44E+01,1.96E+02,5.57E+01,7.59E+05,4.99E+04,13.96
J4,K,4.30E+00,3.46E+00,4.24E+00,5.29E+01,7.44E+01,1.96E+02,5.57E+01,7.59E+05,4.99E+04,13.96
J4,L,4.92E-01,2.47E-01,8.90E-01,6.82E-01,3.61E+00,3.50E-01,1.29E+00,2.89E+05,1.47E+01,0.51
J5,A,9.64E-01,5.65E-01,7.32E-01,6.95E+01,3.96E+01,1.12E+02,7.76E+01,1.36E+06,2.85E+02,13.18
J5,B,9.64E-01,5.65E-01,7.32E-01,6.95E+01,3.96E+01,1.12E+02,7.76E+01,1.36E+06,2.85E+02,13.18
J5,C,9.64E-01,5.65E-01,7.32E-01,6.95E+01,3.96E+01,1.12E+02,7.76E+01,1.36E+06,2.85E+02,13.18
J5,D,9.64E-01,5.65E-01,7.32E-01,6.95E+01,3.96E+01,1.12E+02,7.76E+01,1.36E+06,2.85E+02,13.18
J5,E,9.64E-01,5.65E-01,7.32E-01,6.95E+01,3.96E+01,1.12E+02,7.76E+01,1.36E+06,2.85E+02,13.18
J6,A,4.05E-01,4.48E-01,4.75E-01,4.53E+01,3.28E+01,1.09E+02,4.77E+01,2.37E+06,3.08E+02,9.62
J6,B,4.07E+00,1.30E+00,1.17E+00,2.44E+01,5.38E+01,2.07E+00,2.04E+01,1.85E+06,1.32E+02,3.28
J6,C,4.07E+00,1.30E+00,1.17E+00,2.44E+01,5.38E+01,2.07E+00,2.04E+01,1.85E+06,1.32E+02,3.28
