"地域","部","ひめじ","宇都宮","ドクター","田母神","鈴木","中川","ますぞえ","細川","マック","家入","ないとう","金子","五十嵐","酒向","松山","根上","選挙当日有権者数_男","選挙当日有権者数_女","選挙当日有権者数_計","投票者数_男","投票者数_女","投票者数_計","棄権者数_男","棄権者数_女","棄権者数_計","投票率_男","投票率_女","投票率_平均","前回投票率_男","前回投票率_女","前回投票率_平均"
"千代田区","区部",6.001,3303.998,373,4082,44,18,9106,5054,113,499,18,7,16,7,11,20,21211,21868,43079,11401,11599,23000,9810,10269,20079,53.75,53.04,53.39,69.55,66.97,68.24
"中央区","区部",21.002,8430.997,872,8980,76,44,23161,11130,200,1527,26,25,32,6,26,43,50414,57209,107623,26173,29232,55405,24241,27977,52218,51.92,51.1,51.48,64.96,63.46,64.16
"港区","区部",47,12968,1073,12738,133,46,34808,19792,334,2515,23,53,47,32,31,16,83874,98669,182543,40182,45516,85698,43692,53153,96845,47.91,46.13,46.95,61.97,59.3,60.53
"新宿区","区部",60.005,23910.994,1528,17484,237,61,47568,23949,405,2928,57,71,83,31,42,30,125187,126764,251951,58933,61049,119982,66254,65715,131969,47.08,48.16,47.62,61.03,62.48,61.76
"文京区","区部",46.002,19094.997,1294,12683,220,39,35767,19416,301,2092,61,77,64,37,32,26,78246,88005,166251,44052,48393,92445,34194,39612,73806,56.3,54.99,55.61,69.87,67.94,68.85
"台東区","区部",25,12873,1137,10603,169,57,30465,13654,272,1466,56,73,101,19,27,28,77856,73699,151555,36727,35326,72053,41129,38373,79502,47.17,47.93,47.54,62.33,63.31,62.81
"墨田区","区部",63.003,16661.996,1400,12785,214,48,43318,15805,344,1683,55,72,68,25,107,52,104468,104172,208640,47312,46629,93941,57156,57543,114699,45.29,44.76,45.03,61.67,61.38,61.53
"江東区","区部",155.017,34553.982,2733,24372,397,169,85994,30676,602,3238,133,138,154,62,82,48,192083,195953,388036,92434,93583,186017,99649,102370,202019,48.12,47.76,47.94,64.35,64.48,64.42
"品川区","区部",174.006,27925.993,2052,20133,273,114,61078,27334,473,3297,123,90,183,67,79,67,148570,156610,305180,71111,74280,145391,77459,82330,159789,47.86,47.43,47.64,62.96,62.79,62.87
"目黒区","区部",77,20414,1558,14147,284,159,42350,23912,331,3360,62,46,59,22,53,31,103040,119480,222520,51149,57107,108256,51891,62373,114264,49.64,47.8,48.65,63.74,61.46,62.51
