# 都内の環境放射線測定結果
# 測定場所：東京都新宿区百人町
# http://ftp.jaist.ac.jp/pub/emergency/monitoring.tokyo-eiken.go.jp/monitoring/index.html
Date,Max,Min,Average
2011-03-01 00:00,0.0461,0.0313,0.0368
2011-03-02 00:00,0.0419,0.0311,0.0344
2011-03-03 00:00,0.0377,0.0304,0.0340
2011-03-04 00:00,0.0375,0.0310,0.0339
2011-03-05 00:00,0.0374,0.0304,0.0339
2011-03-06 00:00,0.0377,0.0308,0.0343
2011-03-07 00:00,0.0440,0.0308,0.0366
2011-03-08 00:00,0.0388,0.0312,0.0343
2011-03-09 00:00,0.0379,0.0311,0.0343
2011-03-10 00:00,0.0372,0.0307,0.0338
2011-03-11 00:00,0.0376,0.0308,0.0341
2011-03-12 00:00,0.0384,0.0305,0.0342
2011-03-13 00:00,0.0383,0.0314,0.0343
2011-03-14 00:00,0.0377,0.0304,0.0341
2011-03-15 00:00,0.0367,0.0322,0.0345
2011-03-15 01:00,0.0372,0.0329,0.0347
2011-03-15 02:00,0.0373,0.0318,0.0345
2011-03-15 03:00,0.0384,0.0319,0.0347
2011-03-15 04:00,0.147,0.0360,0.100
2011-03-15 05:00,0.112,0.0562,0.0875
2011-03-15 06:00,0.0576,0.0438,0.0495
2011-03-15 07:00,0.0507,0.0412,0.0453
2011-03-15 08:00,0.123,0.0403,0.0573
2011-03-15 09:00,0.465,0.122,0.202
2011-03-15 10:00,0.809,0.160,0.496
2011-03-15 11:00,0.151,0.0781,0.106
2011-03-15 12:00,0.0777,0.0663,0.0713
2011-03-15 13:00,0.0722,0.0624,0.0658
2011-03-15 14:00,0.0752,0.0681,0.0716
2011-03-15 15:00,0.0715,0.0646,0.0682
2011-03-15 16:00,0.0749,0.0646,0.0682
2011-03-15 17:00,0.157,0.0669,0.0941
2011-03-15 18:00,0.320,0.113,0.200
2011-03-15 19:00,0.458,0.165,0.361
2011-03-15 20:00,0.168,0.0955,0.123
2011-03-15 21:00,0.0980,0.0761,0.0888
2011-03-15 22:00,0.0763,0.0575,0.0657
2011-03-15 23:00,0.0599,0.0530,0.0556
2011-03-16 00:00,0.0559,0.0514,0.0538
2011-03-16 01:00,0.0607,0.0506,0.0547
2011-03-16 02:00,0.0951,0.0589,0.0672
2011-03-16 03:00,0.126,0.0845,0.101
2011-03-16 04:00,0.151,0.124,0.141
2011-03-16 05:00,0.160,0.128,0.143
2011-03-16 06:00,0.161,0.111,0.142
2011-03-16 07:00,0.110,0.0975,0.104
2011-03-16 08:00,0.103,0.0693,0.0891
2011-03-16 09:00,0.0870,0.0555,0.0688
2011-03-16 10:00,0.0702,0.0546,0.0582
2011-03-16 11:00,0.0632,0.0537,0.0565
2011-03-16 12:00,0.0654,0.0530,0.0562
2011-03-16 13:00,0.0569,0.0529,0.0547
2011-03-16 14:00,0.0569,0.0513,0.0541
2011-03-16 15:00,0.0570,0.0520,0.0542
2011-03-16 16:00,0.0575,0.0517,0.0539
2011-03-16 17:00,0.0572,0.0504,0.0534
2011-03-16 18:00,0.0562,0.0507,0.0532
2011-03-16 19:00,0.0565,0.0509,0.0533
2011-03-16 20:00,0.0555,0.0511,0.0532
2011-03-16 21:00,0.0569,0.0506,0.0532
2011-03-16 22:00,0.0558,0.0508,0.0532
2011-03-16 23:00,0.0553,0.0499,0.0529
2011-03-17 00:00,0.0562,0.0503,0.0530
2011-03-17 01:00,0.0557,0.0501,0.0526
2011-03-17 02:00,0.0549,0.0500,0.0524
2011-03-17 03:00,0.0551,0.0499,0.0523
2011-03-17 04:00,0.0555,0.0490,0.0523
