年月日,平均気温,品質情報,均質番号
1990/1/1,5.2,8,1
1990/1/2,5.5,8,1
1990/1/3,5.8,8,1
1990/1/4,5.7,8,1
1990/1/5,6.8,8,1
1990/1/6,8.6,8,1
1990/1/7,5.9,8,1
1990/1/8,5.9,8,1
1990/1/9,6.3,8,1
1990/1/10,7.4,8,1
1990/1/11,10.6,8,1
1990/1/12,7.6,8,1
1990/1/13,5.8,8,1
1990/1/14,3.5,8,1
1990/1/15,5.8,8,1
1990/1/16,1.3,8,1
1990/1/17,3.4,8,1
1990/1/18,4.9,8,1
1990/1/19,5.5,8,1
1990/1/20,4.3,8,1
1990/1/21,3.2,8,1
1990/1/22,5.7,8,1
1990/1/23,3.0,8,1
1990/1/24,3.7,8,1
1990/1/25,2.9,8,1
1990/1/26,2.3,8,1
1990/1/27,2.3,8,1
1990/1/28,3.6,8,1
1990/1/29,4.0,8,1
1990/1/30,7.1,8,1
1990/1/31,1.5,8,1
1990/2/1,1.0,8,1
1990/2/2,2.8,8,1
1990/2/3,3.0,8,1
1990/2/4,4.5,8,1
1990/2/5,3.8,8,1
1990/2/6,5.2,8,1
1990/2/7,6.7,8,1
1990/2/8,8.0,8,1
1990/2/9,5.2,8,1
1990/2/10,5.2,8,1
1990/2/11,11.7,8,1
1990/2/12,11.1,8,1
1990/2/13,8.0,8,1
1990/2/14,4.3,8,1
1990/2/15,4.4,8,1
1990/2/16,6.3,8,1
1990/2/17,8.6,8,1
1990/2/18,9.2,8,1
1990/2/19,7.8,8,1
1990/2/20,12.4,8,1
1990/2/21,12.9,8,1
1990/2/22,13.0,8,1
1990/2/23,11.5,8,1
1990/2/24,14.1,8,1
1990/2/25,11.5,8,1
1990/2/26,9.2,8,1
1990/2/27,8.1,8,1
1990/2/28,7.9,8,1
1990/3/1,7.7,8,1
1990/3/2,7.3,8,1
1990/3/3,7.6,8,1
1990/3/4,10.6,8,1
1990/3/5,9.6,8,1
1990/3/6,9.2,8,1
1990/3/7,9.7,8,1
1990/3/8,6.9,8,1
1990/3/9,10.6,8,1
1990/3/10,11.4,8,1
1990/3/11,13.2,8,1
1990/3/12,13.1,8,1
1990/3/13,7.7,8,1
1990/3/14,10.1,8,1
1990/3/15,12.7,8,1
1990/3/16,11.9,8,1
1990/3/17,10.8,8,1
1990/3/18,8.6,8,1
1990/3/19,11.4,8,1
1990/3/20,13.2,8,1
1990/3/21,11.1,8,1
1990/3/22,11.9,8,1
1990/3/23,13.6,8,1
1990/3/24,16.3,8,1
1990/3/25,9.9,8,1
1990/3/26,8.0,8,1
1990/3/27,10.3,8,1
1990/3/28,13.3,8,1
1990/3/29,9.5,8,1
1990/3/30,11.6,8,1
1990/3/31,10.5,8,1
1990/4/1,16.9,8,1
1990/4/2,14.8,8,1
1990/4/3,17.1,8,1
1990/4/4,16.2,8,1
1990/4/5,10.6,8,1
1990/4/6,11.6,8,1
1990/4/7,13.5,8,1
1990/4/8,16.2,8,1
1990/4/9,14.7,8,1
1990/4/10,17.3,8,1
1990/4/11,16.2,8,1
1990/4/12,16.6,8,1
1990/4/13,16.9,8,1
1990/4/14,14.6,8,1
1990/4/15,12.5,8,1
1990/4/16,9.5,8,1
1990/4/17,10.1,8,1
1990/4/18,9.9,8,1
1990/4/19,11.4,8,1
1990/4/20,12.7,8,1
1990/4/21,13.4,8,1
1990/4/22,15.4,8,1
1990/4/23,18.8,8,1
1990/4/24,15.6,8,1
1990/4/25,14.4,8,1
1990/4/26,16.5,8,1
1990/4/27,17.5,8,1
1990/4/28,18.4,8,1
1990/4/29,16.8,8,1
1990/4/30,15.1,8,1
1990/5/1,15.3,8,1
1990/5/2,12.3,8,1
1990/5/3,14.4,8,1
1990/5/4,16.5,8,1
1990/5/5,18.4,8,1
1990/5/6,17.7,8,1
1990/5/7,17.8,8,1
1990/5/8,19.3,8,1
1990/5/9,20.8,8,1
1990/5/10,21.3,8,1
1990/5/11,21.2,8,1
1990/5/12,20.9,8,1
1990/5/13,21.1,8,1
1990/5/14,20.0,8,1
1990/5/15,19.3,8,1
1990/5/16,17.9,8,1
1990/5/17,18.4,8,1
1990/5/18,19.4,8,1
1990/5/19,20.4,8,1
1990/5/20,20.3,8,1
1990/5/21,19.1,8,1
1990/5/22,20.3,8,1
1990/5/23,18.7,8,1
1990/5/24,17.7,8,1
1990/5/25,17.1,8,1
1990/5/26,19.0,8,1
1990/5/27,21.4,8,1
1990/5/28,22.3,8,1
1990/5/29,22.1,8,1
1990/5/30,22.9,8,1
1990/5/31,22.4,8,1
1990/6/1,21.8,8,1
1990/6/2,20.9,8,1
1990/6/3,23.7,8,1
1990/6/4,21.8,8,1
1990/6/5,19.6,8,1
1990/6/6,21.3,8,1
1990/6/7,22.6,8,1
1990/6/8,22.2,8,1
1990/6/9,21.5,8,1
1990/6/10,24.5,8,1
1990/6/11,23.5,8,1
1990/6/12,23.8,8,1
1990/6/13,22.7,8,1
1990/6/14,24.4,8,1
1990/6/15,23.6,8,1
1990/6/16,25.9,8,1
1990/6/17,25.6,8,1
1990/6/18,25.4,8,1
1990/6/19,24.9,8,1
1990/6/20,25.3,8,1
1990/6/21,25.6,8,1
1990/6/22,29.5,8,1
1990/6/23,26.3,8,1
1990/6/24,26.2,8,1
1990/6/25,28.0,8,1
1990/6/26,24.5,8,1
1990/6/27,21.2,8,1
1990/6/28,19.5,8,1
1990/6/29,19.0,8,1
1990/6/30,20.2,8,1
1990/7/1,20.0,8,1
1990/7/2,22.3,8,1
1990/7/3,23.2,8,1
1990/7/4,23.6,8,1
1990/7/5,26.5,8,1
1990/7/6,26.2,8,1
1990/7/7,23.9,8,1
1990/7/8,22.5,8,1
1990/7/9,22.4,8,1
1990/7/10,21.5,8,1
1990/7/11,24.1,8,1
1990/7/12,19.8,8,1
1990/7/13,20.5,8,1
1990/7/14,24.9,8,1
1990/7/15,28.0,8,1
1990/7/16,29.4,8,1
1990/7/17,30.5,8,1
1990/7/18,30.0,8,1
1990/7/19,30.1,8,1
1990/7/20,27.0,8,1
1990/7/21,26.0,8,1
