年月日,最低気温,品質情報,均質番号
1990/1/1,1.4,8,1
1990/1/2,0.7,8,1
1990/1/3,2.4,8,1
1990/1/4,2.8,8,1
1990/1/5,2.0,8,1
1990/1/6,1.2,8,1
1990/1/7,4.2,8,1
1990/1/8,1.8,8,1
1990/1/9,2.4,8,1
1990/1/10,5.1,8,1
1990/1/11,7.4,8,1
1990/1/12,5.0,8,1
1990/1/13,2.7,8,1
1990/1/14,1.7,8,1
1990/1/15,1.2,8,1
1990/1/16,0.8,8,1
1990/1/17,0.1,8,1
1990/1/18,0.2,8,1
1990/1/19,3.9,8,1
1990/1/20,2.3,8,1
1990/1/21,0.3,8,1
1990/1/22,0.1,8,1
1990/1/23,0.9,8,1
1990/1/24,0.2,8,1
1990/1/25,0.3,8,1
1990/1/26,-0.3,8,1
1990/1/27,-1.4,8,1
1990/1/28,-1.1,8,1
1990/1/29,1.4,8,1
1990/1/30,3.1,8,1
1990/1/31,0.8,8,1
1990/2/1,0.4,8,1
1990/2/2,0.1,8,1
1990/2/3,0.3,8,1
1990/2/4,2.8,8,1
1990/2/5,1.7,8,1
1990/2/6,2.5,8,1
1990/2/7,4.8,8,1
1990/2/8,5.4,8,1
1990/2/9,2.3,8,1
1990/2/10,1.4,8,1
1990/2/11,6.5,8,1
1990/2/12,7.8,8,1
1990/2/13,5.7,8,1
1990/2/14,2.0,8,1
1990/2/15,1.8,8,1
1990/2/16,5.5,8,1
1990/2/17,4.9,8,1
1990/2/18,5.3,8,1
1990/2/19,7.3,8,1
1990/2/20,7.4,8,1
1990/2/21,7.8,8,1
1990/2/22,8.6,8,1
1990/2/23,10.5,8,1
1990/2/24,10.2,8,1
1990/2/25,9.7,8,1
1990/2/26,7.5,8,1
1990/2/27,7.3,8,1
1990/2/28,5.9,8,1
1990/3/1,5.6,8,1
1990/3/2,5.5,8,1
1990/3/3,5.7,8,1
1990/3/4,7.3,8,1
1990/3/5,7.6,8,1
1990/3/6,6.5,8,1
1990/3/7,5.5,8,1
1990/3/8,4.4,8,1
1990/3/9,6.0,8,1
1990/3/10,7.1,8,1
1990/3/11,8.4,8,1
1990/3/12,6.6,8,1
1990/3/13,5.3,8,1
1990/3/14,4.3,8,1
1990/3/15,9.4,8,1
1990/3/16,8.1,8,1
1990/3/17,7.4,8,1
1990/3/18,5.9,8,1
1990/3/19,5.9,8,1
1990/3/20,7.2,8,1
1990/3/21,8.3,8,1
1990/3/22,6.6,8,1
1990/3/23,9.3,8,1
1990/3/24,11.4,8,1
1990/3/25,5.6,8,1
1990/3/26,4.8,8,1
1990/3/27,4.8,8,1
1990/3/28,9.4,8,1
1990/3/29,9.1,8,1
1990/3/30,8.6,8,1
1990/3/31,10.0,8,1
1990/4/1,10.9,8,1
1990/4/2,11.9,8,1
1990/4/3,11.1,8,1
1990/4/4,13.2,8,1
1990/4/5,7.5,8,1
1990/4/6,6.1,8,1
1990/4/7,8.0,8,1
1990/4/8,12.2,8,1
1990/4/9,7.8,8,1
1990/4/10,12.2,8,1
1990/4/11,11.8,8,1
1990/4/12,11.7,8,1
1990/4/13,14.5,8,1
1990/4/14,12.4,8,1
1990/4/15,8.7,8,1
1990/4/16,8.3,8,1
1990/4/17,8.3,8,1
1990/4/18,7.5,8,1
1990/4/19,8.2,8,1
1990/4/20,9.3,8,1
1990/4/21,12.2,8,1
1990/4/22,12.2,8,1
1990/4/23,15.8,8,1
1990/4/24,12.5,8,1
1990/4/25,8.9,8,1
1990/4/26,11.8,8,1
1990/4/27,12.9,8,1
1990/4/28,14.4,8,1
1990/4/29,12.6,8,1
1990/4/30,9.7,8,1
1990/5/1,11.5,8,1
1990/5/2,11.0,8,1
1990/5/3,12.0,8,1
1990/5/4,12.9,8,1
1990/5/5,15.4,8,1
1990/5/6,14.0,8,1
1990/5/7,15.6,8,1
1990/5/8,16.2,8,1
1990/5/9,15.8,8,1
1990/5/10,17.5,8,1
1990/5/11,18.6,8,1
1990/5/12,17.9,8,1
1990/5/13,18.1,8,1
1990/5/14,17.5,8,1
1990/5/15,15.6,8,1
1990/5/16,14.2,8,1
1990/5/17,14.2,8,1
1990/5/18,15.5,8,1
1990/5/19,19.4,8,1
1990/5/20,17.9,8,1
1990/5/21,17.9,8,1
1990/5/22,15.3,8,1
1990/5/23,15.8,8,1
1990/5/24,14.5,8,1
1990/5/25,14.8,8,1
1990/5/26,14.3,8,1
1990/5/27,15.3,8,1
1990/5/28,17.2,8,1
1990/5/29,17.6,8,1
1990/5/30,17.7,8,1
1990/5/31,19.5,8,1
1990/6/1,19.3,8,1
1990/6/2,17.9,8,1
1990/6/3,19.1,8,1
1990/6/4,19.6,8,1
1990/6/5,17.2,8,1
1990/6/6,16.4,8,1
1990/6/7,19.8,8,1
1990/6/8,20.4,8,1
1990/6/9,18.4,8,1
1990/6/10,22.9,8,1
1990/6/11,21.8,8,1
1990/6/12,20.4,8,1
1990/6/13,20.0,8,1
1990/6/14,21.9,8,1
1990/6/15,20.9,8,1
1990/6/16,23.8,8,1
1990/6/17,21.9,8,1
1990/6/18,22.0,8,1
1990/6/19,22.4,8,1
1990/6/20,23.2,8,1
1990/6/21,23.2,8,1
1990/6/22,23.4,8,1
1990/6/23,24.3,8,1
1990/6/24,23.6,8,1
1990/6/25,24.9,8,1
1990/6/26,23.1,8,1
1990/6/27,18.3,8,1
1990/6/28,17.8,8,1
1990/6/29,17.1,8,1
1990/6/30,17.8,8,1
1990/7/1,18.0,8,1
1990/7/2,18.2,8,1
1990/7/3,21.3,8,1
1990/7/4,22.1,8,1
1990/7/5,23.1,8,1
1990/7/6,23.6,8,1
1990/7/7,21.3,8,1
1990/7/8,20.0,8,1
1990/7/9,20.8,8,1
1990/7/10,19.4,8,1
1990/7/11,20.4,8,1
1990/7/12,18.6,8,1
1990/7/13,17.9,8,1
1990/7/14,20.5,8,1
1990/7/15,24.8,8,1
1990/7/16,26.7,8,1
1990/7/17,26.9,8,1
1990/7/18,26.7,8,1
1990/7/19,26.8,8,1
1990/7/20,23.7,8,1
1990/7/21,22.4,8,1
1990/7/22,24.3,8,1
1990/7/23,26.1,8,1
1990/7/24,26.9,8,1
1990/7/25,26.2,8,1
1990/7/26,24.8,8,1
1990/7/27,23.6,8,1
1990/7/28,22.8,8,1
1990/7/29,23.3,8,1
1990/7/30,23.6,8,1
1990/7/31,23.3,8,1
1990/8/1,24.1,8,1
1990/8/2,24.9,8,1
1990/8/3,25.3,8,1
1990/8/4,24.8,8,1
1990/8/5,25.9,8,1
1990/8/6,26.2,8,1
1990/8/7,25.6,8,1
1990/8/8,25.9,8,1
1990/8/9,24.8,8,1
1990/8/10,24.9,8,1
1990/8/11,27.6,8,1
1990/8/12,26.9,8,1
1990/8/13,26.5,8,1
1990/8/14,27.2,8,1
1990/8/15,27.5,8,1
1990/8/16,26.9,8,1
1990/8/17,27.8,8,1
1990/8/18,23.9,8,1
1990/8/19,23.3,8,1
1990/8/20,25.6,8,1
1990/8/21,26.8,8,1
1990/8/22,28.1,8,1
1990/8/23,26.7,8,1
1990/8/24,28.8,8,1
1990/8/25,27.2,8,1
1990/8/26,22.6,8,1
1990/8/27,23.7,8,1
1990/8/28,23.3,8,1
1990/8/29,23.3,8,1
1990/8/30,25.0,8,1
1990/8/31,25.5,8,1
1990/9/1,25.8,8,1
1990/9/2,25.0,8,1
1990/9/3,23.8,8,1
1990/9/4,25.8,8,1
1990/9/5,24.2,8,1
1990/9/6,23.7,8,1
1990/9/7,20.1,8,1
1990/9/8,19.7,8,1
1990/9/9,20.7,8,1
1990/9/10,20.9,8,1
1990/9/11,22.6,8,1
1990/9/12,26.5,8,1
1990/9/13,22.4,8,1
1990/9/14,22.5,8,1
1990/9/15,22.0,8,1
1990/9/16,20.9,8,1
1990/9/17,20.5,8,1
1990/9/18,25.2,8,1
1990/9/19,25.0,8,1
1990/9/20,23.0,8,1
1990/9/21,21.0,8,1
1990/9/22,19.0,8,1
1990/9/23,18.8,8,1
1990/9/24,21.5,8,1
1990/9/25,22.8,8,1
1990/9/26,17.5,8,1
1990/9/27,16.8,8,1
1990/9/28,19.0,8,1
1990/9/29,21.4,8,1
1990/9/30,19.5,8,1
1990/10/1,18.4,8,1
1990/10/2,20.7,8,1
1990/10/3,18.4,8,1
1990/10/4,20.9,8,1
1990/10/5,22.4,8,1
1990/10/6,22.0,8,1
1990/10/7,16.7,8,1
1990/10/8,15.9,8,1
1990/10/9,15.7,8,1
1990/10/10,13.6,8,1
1990/10/11,11.6,8,1
1990/10/12,13.5,8,1
1990/10/13,16.0,8,1
1990/10/14,16.8,8,1
1990/10/15,18.8,8,1
1990/10/16,18.4,8,1
1990/10/17,18.6,8,1
1990/10/18,17.3,8,1
1990/10/19,17.1,8,1
1990/10/20,14.9,8,1
1990/10/21,14.8,8,1
1990/10/22,13.9,8,1
1990/10/23,13.2,8,1
1990/10/24,13.9,8,1
1990/10/25,13.8,8,1
1990/10/26,15.1,8,1
1990/10/27,14.2,8,1
1990/10/28,12.6,8,1
1990/10/29,12.2,8,1
1990/10/30,12.7,8,1
1990/10/31,12.6,8,1
1990/11/1,12.3,8,1
1990/11/2,13.3,8,1
1990/11/3,14.0,8,1
1990/11/4,14.4,8,1
1990/11/5,14.5,8,1
1990/11/6,14.1,8,1
1990/11/7,13.3,8,1
1990/11/8,15.1,8,1
1990/11/9,13.7,8,1
1990/11/10,11.6,8,1
1990/11/11,9.0,8,1
1990/11/12,8.5,8,1
1990/11/13,10.9,8,1
1990/11/14,12.9,8,1
1990/11/15,12.4,8,1
1990/11/16,11.1,8,1
1990/11/17,9.3,8,1
1990/11/18,13.3,8,1
1990/11/19,13.8,8,1
1990/11/20,14.1,8,1
1990/11/21,8.6,8,1
1990/11/22,5.8,8,1
1990/11/23,6.8,8,1
1990/11/24,7.0,8,1
1990/11/25,7.2,8,1
1990/11/26,10.5,8,1
1990/11/27,11.3,8,1
