Time,Hongo1,Hongo2,Komaba,Kashiwa
2011/3/17 0:00,0.09,0.05,,
2011/3/17 1:00,0.09,0.07,,
2011/3/17 2:00,0.09,0.06,,
2011/3/17 3:00,0.09,0.05,,
2011/3/17 4:00,0.09,0.05,,
2011/3/17 5:00,0.08,0.06,,
2011/3/17 6:00,0.08,0.06,,
2011/3/17 7:00,0.07,0.06,,
2011/3/17 8:00,0.07,0.07,,
2011/3/17 9:00,0.08,0.05,,0.14
2011/3/17 10:00,0.09,0.06,,0.14
2011/3/17 11:00,0.08,0.06,0.07,0.14
2011/3/17 12:00,0.08,0.05,0.07,0.1
2011/3/17 13:00,0.08,0.05,,0.14
2011/3/17 14:00,0.08,0.05,0.06,0.13
2011/3/17 15:00,0.09,0.06,0.06,0.15
2011/3/17 16:00,0.08,0.07,0.06,0.12
2011/3/17 17:00,0.08,0.06,0.06,0.14
2011/3/17 18:00,0.08,0.07,0.06,0.14
2011/3/17 19:00,0.07,0.06,0.06,0.13
2011/3/17 20:00,0.08,0.06,,0.14
2011/3/17 21:00,0.08,0.06,,
2011/3/17 22:00,0.07,0.06,,
2011/3/17 23:00,0.08,0.05,,
2011/3/18 0:00,0.08,0.06,,
2011/3/18 1:00,0.07,0.06,,
2011/3/18 2:00,0.08,0.06,,
2011/3/18 3:00,0.07,0.06,,
2011/3/18 4:00,0.08,0.06,,
2011/3/18 5:00,0.08,0.05,,
2011/3/18 6:00,0.07,0.06,,
2011/3/18 7:00,0.07,0.05,,
2011/3/18 8:00,0.07,0.06,,
2011/3/18 9:00,0.07,0.06,0.06,0.12
2011/3/18 10:00,0.08,0.06,0.06,0.12
2011/3/18 11:00,0.09,0.05,0.06,0.13
2011/3/18 12:00,0.07,0.04,0.06,0.13
2011/3/18 13:00,0.08,0.06,0.06,0.13
2011/3/18 14:00,0.07,0.06,0.06,0.12
2011/3/18 15:00,0.1,0.05,0.06,0.11
2011/3/18 16:00,0.07,0.07,0.06,0.12
2011/3/18 17:00,0.06,,0.06,0.12
2011/3/18 18:00,0.1,,0.05,0.13
2011/3/18 19:00,0.07,,,0.12
2011/3/18 20:00,0.08,,,0.12
2011/3/18 21:00,0.07,,,
2011/3/18 22:00,0.07,,,
2011/3/18 23:00,0.07,,,
2011/3/19 0:00,0.07,0.05,0.06,
2011/3/19 1:00,0.07,0.05,0.06,
2011/3/19 2:00,0.08,0.05,0.07,
2011/3/19 3:00,0.07,0.06,0.07,
2011/3/19 4:00,0.08,0.06,0.06,
2011/3/19 5:00,0.08,0.05,0.06,
2011/3/19 6:00,0.07,0.05,0.06,
2011/3/19 7:00,0.07,0.07,0.07,
2011/3/19 8:00,0.08,0.06,0.07,
2011/3/19 9:00,0.07,0.05,0.07,0.12
2011/3/19 10:00,0.07,0.05,0.07,0.12
2011/3/19 11:00,0.08,0.06,0.06,0.12
2011/3/19 12:00,0.08,0.05,0.07,0.14
2011/3/19 13:00,0.08,0.05,0.06,0.13
2011/3/19 14:00,0.08,0.06,0.07,0.13
2011/3/19 15:00,0.08,0.05,0.07,0.12
2011/3/19 16:00,0.07,0.04,0.07,0.11
2011/3/19 17:00,0.08,0.06,0.07,0.13
2011/3/19 18:00,0.07,0.06,0.07,0.13
2011/3/19 19:00,0.08,0.07,0.06,
2011/3/19 20:00,0.07,0.06,0.07,
2011/3/19 21:00,0.07,0.06,0.06,
2011/3/19 22:00,0.07,0.05,0.06,
2011/3/19 23:00,0.06,0.05,0.07,
2011/3/20 0:00,0.08,0.07,0.06,
2011/3/20 1:00,0.08,0.05,0.06,
2011/3/20 2:00,0.06,0.08,0.07,
2011/3/20 3:00,0.08,0.06,0.06,
2011/3/20 4:00,0.08,0.06,0.06,
2011/3/20 5:00,0.08,0.07,0.06,
2011/3/20 6:00,0.08,0.07,0.07,
2011/3/20 7:00,0.07,0.06,0.06,
2011/3/20 8:00,0.07,0.04,0.06,
2011/3/20 9:00,0.07,0.05,0.07,0.11
2011/3/20 10:00,0.07,0.05,0.07,0.1
2011/3/20 11:00,0.07,0.05,0.06,0.11
2011/3/20 12:00,0.07,0.05,0.07,0.11
2011/3/20 13:00,0.07,0.05,0.07,0.11
2011/3/20 14:00,0.07,0.06,0.06,0.12
2011/3/20 15:00,0.07,0.05,0.06,0.14
2011/3/20 16:00,0.07,0.06,,0.13
2011/3/20 17:00,0.06,0.05,,0.12
2011/3/20 18:00,0.07,0.04,,0.12
2011/3/20 19:00,0.07,0.06,,
2011/3/20 20:00,0.07,0.05,,
2011/3/20 21:00,0.07,0.05,,
2011/3/20 22:00,0.07,0.05,,
2011/3/20 23:00,0.08,0.05,,
2011/3/21 0:00,0.08,0.05,0.07,
2011/3/21 1:00,0.07,0.05,0.06,
2011/3/21 2:00,0.07,0.06,0.07,
2011/3/21 3:00,0.08,0.07,0.06,
2011/3/21 4:00,0.07,0.05,0.06,
2011/3/21 5:00,0.08,0.06,0.07,
2011/3/21 6:00,0.08,0.06,0.07,
2011/3/21 7:00,0.09,0.07,0.07,
2011/3/21 8:00,0.09,0.07,0.07,
2011/3/21 9:00,0.18,0.15,0.08,0.74
2011/3/21 10:00,0.24,0.16,0.09,0.78
2011/3/21 11:00,0.25,0.17,0.08,0.8
2011/3/21 12:00,0.25,0.16,0.1,0.75
2011/3/21 13:00,0.25,0.15,0.09,0.64
2011/3/21 14:00,0.24,0.15,0.09,0.77
2011/3/21 15:00,0.25,0.15,0.09,0.77
2011/3/21 16:00,0.28,0.16,0.1,0.78
2011/3/21 17:00,0.28,0.17,0.1,0.69
