station,radiation,longitude,latitude
武蔵境,0.03,139.542679,35.702072
東小金井,0.02,139.522949,35.701534
武蔵小金井,0.03,139.505646,35.700958
国分寺,0.04,139.479446,35.700104
西国分寺,0.03,139.465256,35.699696
国立,0.03,139.445007,35.699165
立川,0.03,139.413010,35.697884
立川,0.03,139.412842,35.697899
日野,0.03,139.393646,35.678905
豊田,0.03,139.381027,35.659206
八王子,0.03,139.337936,35.655598
西八王子,0.03,139.311630,35.656094
高尾,0.03,139.281799,35.641960
相模湖,0.03,139.188080,35.617466
藤野,0.03,139.152145,35.615948
上野原,0.03,139.115555,35.618469
四方津,0.03,139.073074,35.614075
梁川,0.02,139.038040,35.605621
鳥沢,0.03,139.003235,35.608097
猿橋,0.03,138.967804,35.612606
大月,0.02,138.942200,35.613121
初狩,0.03,138.883987,35.594166
笹子,0.03,138.826721,35.604164
甲斐大和,0.03,138.780945,35.639465
勝沼ぶどう郷,0.02,138.743195,35.672428
塩山,0.03,138.733383,35.705479
東山梨,0.02,138.702820,35.694160
山梨市,0.03,138.682922,35.684994
春日居町,0.03,138.658829,35.673363
石和温泉,0.02,138.633545,35.657558
酒折,0.02,138.598175,35.659798
甲府,0.03,138.568146,35.667374
甲府,0.02,138.567795,35.667461
竜王,0.02,138.518539,35.668739
塩崎,0.02,138.487549,35.687855
韮崎,0.02,138.450455,35.710487
新府,0.02,138.433319,35.737343
穴山,0.02,138.413727,35.751492
日野春,0.02,138.394470,35.790379
長坂,0.02,138.366638,35.827496
小淵沢,0.03,138.315811,35.863892
信濃境,0.02,138.275818,35.884705
富士見,0.03,138.237915,35.912262
すずらんの里,0.02,138.211777,35.930473
青柳,0.02,138.197632,35.942524
茅野,0.02,138.151566,35.995186
上諏訪,0.03,138.116058,36.047165
下諏訪,0.03,138.084427,36.071899
岡谷,0.02,138.044617,36.056412
みどり湖,0.03,137.982040,36.094200
塩尻,0.02,137.947861,36.115143
塩尻,0.03,137.947739,36.115116
洗馬,0.03,137.916779,36.086876
日出塩,0.03,137.894913,36.049152
贄川,0.03,137.860855,36.014091
木曽平沢,0.03,137.831161,35.978554
奈良井,0.03,137.815781,35.969131
藪原,0.03,137.784256,35.929764
宮ノ越,0.04,137.763702,35.888069
原野,0.03,137.741821,35.871368
木曽福島,0.04,137.693604,35.843967
上松,0.04,137.693329,35.784397
倉本,0.04,137.714401,35.733147
須原,0.04,137.695068,35.698128
大桑,0.04,137.664551,35.684639
野尻,0.03,137.636322,35.673241
十二兼,0.04,137.617706,35.645771
南木曽,0.04,137.608795,35.599468
田立,0.04,137.549255,35.588242
坂下,0.03,137.531281,35.574657
落合川,0.04,137.529663,35.524532
中津川,0.04,137.502914,35.500568
中津川,0.04,137.502777,35.500317
美乃坂本,0.04,137.449661,35.479404
恵那,0.03,137.407501,35.455059
武並,0.04,137.353760,35.437614
釜戸,0.04,137.305542,35.411507
瑞浪,0.04,137.252213,35.369026
土岐市,0.03,137.182709,35.360092
多治見,0.03,137.120514,35.334892
多治見,0.03,137.120270,35.334759
古虎渓,0.04,137.101044,35.302998
定光寺,0.04,137.080948,35.278069
高蔵寺,0.03,137.042786,35.264351
神領,0.03,137.009644,35.256203
春日井,0.03,136.985062,35.243061
勝川,0.03,136.957123,35.230286
新守山,0.03,136.950577,35.206673
大曽根,0.03,136.937225,35.191357
千種,0.04,136.930328,35.170090
鶴舞,0.03,136.917358,35.156216
金山,0.04,136.900452,35.143353
名古屋,0.03,136.881714,35.171185
名古屋,0.03,136.881699,35.171669
枇杷島,0.04,136.861465,35.199333
清洲,0.03,136.835114,35.224693
稲沢,0.03,136.821579,35.252289
尾張一宮,0.03,136.797180,35.302464
木曽川,0.04,136.780975,35.348694
岐阜,0.03,136.755920,35.409515
岐阜,0.03,136.755539,35.409569
西岐阜,0.03,136.723587,35.404686
穂積,0.03,136.693680,35.396240
大垣,0.03,136.618820,35.366970
垂井,0.03,136.530884,35.369553
関ケ原,0.03,136.469986,35.363762
柏原,0.03,136.403091,35.344727
近江長岡,0.03,136.374054,35.359043
醒ヶ井,0.03,136.345398,35.327808
米原,0.03,136.289642,35.314091
米原,0.03,136.289551,35.313793
彦根,0.03,136.263412,35.272400
南彦根,0.03,136.248108,35.246250
河瀬,0.03,136.225220,35.225342
稲枝,0.03,136.194550,35.203392
能登川,0.03,136.166092,35.180042
安土,0.03,136.133682,35.142651
近江八幡,0.03,136.102982,35.122936
篠原,0.03,136.071503,35.099266
野洲,0.03,136.022797,35.068729
守山,0.04,135.995972,35.050621
栗東,0.04,135.980118,35.037567
草津,0.03,135.962311,35.022827
南草津,0.04,135.947586,35.003960
瀬田,0.03,135.926117,34.987446
石山,0.04,135.900726,34.979782
膳所,0.04,135.880615,34.999165
大津,0.04,135.865311,35.002872
山科,0.03,135.817200,34.992474
京都,0.04,135.755936,34.985497
京都,0.04,135.755661,34.985512
西大路,0.04,135.732315,34.981258
桂川,0.03,135.710541,34.964695
向日町,0.04,135.710007,34.954952
長岡京,0.03,135.700989,34.923573
山崎,0.03,135.679871,34.892372
島本,0.03,135.662994,34.880810
高槻,0.03,135.618164,34.851700
摂津富田,0.03,135.593536,34.837643
茨木,0.03,135.562546,34.815475
千里丘,0.03,135.551392,34.791481
岸辺,0.03,135.541931,34.777267
吹田,0.03,135.524170,34.763649
東淀川,0.03,135.504425,34.740131
