station,radiation,longitude,latitude
東京電力福島第一原子力発電所,,141.032578,37.421432
上野,0.04,139.777390,35.713898
日暮里,0.04,139.771011,35.728043
三河島,0.04,139.776947,35.733398
南千住,0.04,139.799164,35.733566
北千住,0.04,139.805069,35.749928
松戸,0.04,139.900589,35.784119
柏,0.07,139.971146,35.862343
我孫子,0.10,140.010452,35.872730
天王台,0.07,140.041122,35.872536
取手,0.07,140.063065,35.895756
藤代,0.08,140.118057,35.920532
佐貫,0.05,140.138123,35.929890
牛久,0.08,140.141006,35.975304
ひたち野うしく,0.07,140.158478,36.007607
荒川沖,0.06,140.166046,36.030586
土浦,0.04,140.206177,36.078426
神立,0.08,140.248734,36.120556
高浜,0.07,140.294815,36.163902
石岡,0.06,140.279953,36.191219
羽鳥,0.07,140.286896,36.247318
岩間,0.07,140.276443,36.295254
友部,0.05,140.306076,36.350567
内原,0.07,140.353317,36.370461
赤塚,0.04,140.415009,36.381809
水戸,0.05,140.476578,36.370693
勝田,0.05,140.524292,36.394161
勝田,0.06,140.524185,36.394623
佐和,0.08,140.540359,36.429970
東海,0.08,140.566208,36.465652
大甕,0.09,140.619644,36.513157
常陸多賀,0.09,140.632721,36.552177
日立,0.07,140.662170,36.591217
小木津,0.11,140.675201,36.636932
十王,0.10,140.686111,36.671486
高萩,0.08,140.716888,36.714714
南中郷,0.10,140.729004,36.753220
磯原,0.08,140.746399,36.790611
大津港,0.08,140.778152,36.846828
勿来,0.09,140.786667,36.884190
植田,0.08,140.796539,36.920620
泉,0.08,140.854416,36.955559
湯本,0.09,140.849884,37.006985
内郷,0.09,140.854950,37.035904
いわき,0.10,140.892822,37.058266
草野,0.13,140.947632,37.074055
四ツ倉,0.19,140.981400,37.102806
久ノ浜,0.21,140.995712,37.142574
末続,0.25,140.995468,37.172588
広野,0.19,140.999222,37.212051
いわき,0.10,140.892487,37.058353
赤井,0.09,140.866241,37.080544
小川郷,0.08,140.862534,37.126247
江田,0.10,140.825836,37.179607
川前,0.10,140.749756,37.205830
夏井,0.09,140.662308,37.253185
小野新町,0.08,140.636826,37.275383
神俣,0.08,140.659637,37.324196
菅谷,0.11,140.644043,37.350849
大越,0.09,140.630798,37.386883
磐城常葉,0.09,140.605682,37.420650
船引,0.13,140.574554,37.443008
要田,0.16,140.520691,37.454117
三春,0.18,140.479263,37.449657
舞木,0.27,140.435471,37.416660
郡山,0.37,140.389252,37.398296
郡山,0.31,140.388687,37.397308
安積永盛,0.17,140.369003,37.357040
磐城守山,0.15,140.406525,37.330662
谷田川,0.11,140.431122,37.313648
小塩江,0.08,140.430328,37.295734
川東,0.05,140.406082,37.269909
泉郷,0.07,140.405563,37.214481
川辺沖,0.05,140.405853,37.192532
野木沢,0.05,140.421036,37.175304
磐城石川,0.06,140.443970,37.140720
里白石,0.06,140.416641,37.104500
磐城浅川,0.08,140.414398,37.079849
磐城棚倉,0.09,140.384369,37.035110
中豊,0.08,140.393250,37.022552
近津,0.10,140.393692,37.000538
磐城塙,0.06,140.412018,36.958618
磐城石井,0.06,140.415283,36.904686
南石井,0.05,140.416870,36.894745
東館,0.04,140.423401,36.870174
