# 流山市の年齢・男女別人口（平成24年4月1日）
# Population of Nagareyama City as of April 1, 2012.
# 年齢,男,女
Age,Male,Female
0,845,791
1,885,820
2,869,811
3,845,812
4,845,762
5,828,742
6,766,741
7,763,755
8,754,790
9,732,731
10,719,702
11,759,730
12,702,667
13,711,757
14,712,676
15,700,670
16,702,701
17,781,701
18,710,635
19,673,674
20,804,702
21,748,682
22,789,751
23,824,771
24,861,790
25,878,853
26,1008,914
27,1015,1001
28,1085,1123
29,1110,1091
30,1188,1142
31,1205,1155
32,1329,1319
33,1375,1337
34,1369,1279
35,1405,1319
36,1480,1371
37,1485,1372
38,1683,1479
39,1577,1458
40,1534,1363
41,1446,1310
42,1376,1201
43,1293,1220
44,1285,1118
45,1014,935
46,1034,1030
47,1090,1032
48,902,918
49,1010,908
50,960,903
51,860,818
52,902,860
53,865,860
54,811,862
55,827,871
56,883,940
57,916,1046
58,916,1014
59,1000,1148
60,1110,1205
61,1171,1250
62,1293,1421
63,1357,1483
64,1450,1590
65,1180,1297
66,870,904
67,1064,1173
68,1228,1332
69,1123,1149
70,1180,1202
71,1015,1066
72,976,940
73,768,781
74,809,782
75,771,802
76,766,787
77,652,680
78,546,665
79,515,634
80,449,537
81,403,549
82,354,485
83,327,442
84,243,385
85,246,390
86,200,310
87,145,298
88,130,258
89,72,241
90,69,197
91,65,154
92,43,179
93,28,117
94,32,103
95,25,92
96,15,64
97,11,64
98,10,25
99,5,23
100,4,42
# 最後の行は100歳以上
# Last row: 100 or older.
