,環境放射能水準調査結果,,上水（蛇口）,
,,,,
pref,都道府県,採取月日,I-131,Cs-137
1,北海道（札幌市）,3月18日,不検出,不検出
2,青森県（青森市）,3月18日,不検出,不検出
3,岩手県（盛岡市）,3月18日,不検出,不検出
4,宮城県,3月18日,-,-
5,秋田県（秋田市）,3月18日,不検出,不検出
6,山形県（山形市）,3月18日,不検出,不検出
7,福島県,3月18日,-,-
8,茨城県,3月18日,-,-
9,栃木県（宇都宮市）,3月18日,77,1.6
10,群馬県（前橋市）,3月18日,2.5,0.22
11,埼玉県（さいたま市）,3月18日,0.62,不検出
12,千葉県（市原市）,3月18日,0.79,不検出
13,東京都（新宿区）,3月18日,1.5,不検出
14,神奈川県（茅ヶ崎市）,3月18日,不検出,不検出
15,新潟県（新潟市）,3月18日,0.27,不検出
16,富山県（射水市）,3月18日,不検出,不検出
17,石川県（金沢市）,3月18日,不検出,不検出
18,福井県（福井市）,3月18日,不検出,不検出
19,山梨県（甲府市）,3月18日,不検出,不検出
20,長野県（長野市）,3月18日,不検出,不検出
21,岐阜県（各務原市）,3月18日,不検出,不検出
22,静岡県（静岡市）,3月18日,不検出,不検出
23,愛知県（名古屋市）,3月18日,不検出,不検出
24,三重県（四日市市）,3月18日,不検出,不検出
25,滋賀県（大津市）,3月18日,不検出,不検出
26,京都府（京都市）,3月18日,不検出,不検出
27,大阪府（大阪市）,3月18日,不検出,不検出
28,兵庫県（神戸市）,3月18日,不検出,不検出
29,奈良県,3月18日,-,-
30,和歌山県（和歌山市）,3月18日,不検出,不検出
31,鳥取県（東伯郡）,3月18日,不検出,不検出
32,島根県（松江市）,3月18日,不検出,不検出
33,岡山県（岡山市）,3月18日,不検出,不検出
34,広島県（広島市）,3月18日,不検出,不検出
35,山口県（宇部市）,3月18日,不検出,不検出
36,徳島県（徳島市）,3月18日,不検出,不検出
37,香川県（高松市）,3月18日,不検出,不検出
38,愛媛県（八幡浜市）,3月18日,不検出,不検出
39,高知県（高知市）,3月18日,不検出,不検出
40,福岡県（太宰府市）,3月18日,不検出,不検出
